section,attack,strategy,metric,value,notes
linear_inverter,linear,fixed_permutation,mse,2.5233300691984706e-12,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,fixed_permutation,relative_l2_error,6.590830139430182e-07,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,fixed_permutation,cosine_similarity,0.9999999403953552,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,fresh_permutation_per_session,mse,7.770668029785156,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,fresh_permutation_per_session,relative_l2_error,1.132310152053833,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,fresh_permutation_per_session,cosine_similarity,0.038903072476387024,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,permutation_pool,mse,3.3796820640563965,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,permutation_pool,relative_l2_error,0.7478251457214355,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,permutation_pool,cosine_similarity,0.6704162955284119,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,dense_sandwich,mse,8.598323822021484,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,dense_sandwich,relative_l2_error,1.173920750617981,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,dense_sandwich,cosine_similarity,-0.07287032157182693,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,boundary_pad_only_boundary_view,mse,7.696742534637451,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,boundary_pad_only_boundary_view,relative_l2_error,1.1154601573944092,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,boundary_pad_only_boundary_view,cosine_similarity,0.034118931740522385,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,boundary_pad_only_activation_view,mse,2.77413313674868e-12,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,boundary_pad_only_activation_view,relative_l2_error,6.811561661379528e-07,"ridge least squares, V_test @ W vs X_test"
linear_inverter,linear,boundary_pad_only_activation_view,cosine_similarity,0.9999995231628418,"ridge least squares, V_test @ W vs X_test"
