model_id,family,status,batch_size,dec_seq_len,enc_seq_len,use_pad,encoder_mask_kind,q_max_abs_error,k_max_abs_error,v_max_abs_error,score_max_abs_error,prob_max_abs_error,v_aggr_max_abs_error,output_max_abs_error,output_relative_l2_error,output_cosine_similarity,qk_constraint_error,cache_key_max_abs_error,cache_value_max_abs_error,cache_allclose,allclose,q_pad,k_pad,v_pad,o_pad
hf-internal-testing/tiny-random-t5,t5,loaded,1,1,4,True,all_ones,6.407499313354492e-07,6.966292858123779e-07,5.960464477539062e-07,3.8743019104003906e-07,1.1920928955078125e-07,3.8743019104003906e-07,6.556510925292969e-07,1.437861101294402e-06,0.9999998211860657,4.172325134277344e-07,6.966292858123779e-07,5.960464477539062e-07,True,True,True,True,True,True
hf-internal-testing/tiny-random-t5,t5,loaded,1,1,4,True,padding,6.407499313354492e-07,6.966292858123779e-07,5.960464477539062e-07,3.8743019104003906e-07,8.940696716308594e-08,2.980232238769531e-07,4.5821070671081543e-07,1.1177336318723974e-06,0.9999999403953552,4.172325134277344e-07,6.966292858123779e-07,5.960464477539062e-07,True,True,True,True,True,True
hf-internal-testing/tiny-random-t5,t5,loaded,1,1,4,False,all_ones,4.172325134277344e-07,5.960464477539062e-07,5.960464477539062e-07,2.980232238769531e-07,5.960464477539063e-08,2.086162567138672e-07,2.8312206268310547e-07,5.398280791268917e-07,1.0,4.172325134277344e-07,5.960464477539062e-07,5.960464477539062e-07,True,True,False,False,False,False
hf-internal-testing/tiny-random-t5,t5,loaded,1,1,4,False,padding,4.172325134277344e-07,5.960464477539062e-07,5.960464477539062e-07,2.980232238769531e-07,8.940696716308594e-08,2.2351741790771484e-07,1.7508864402770996e-07,6.003098746987234e-07,1.0,4.172325134277344e-07,5.960464477539062e-07,5.960464477539062e-07,True,True,False,False,False,False
hf-internal-testing/tiny-random-t5,t5,loaded,1,1,8,True,all_ones,7.152557373046875e-07,8.344650268554688e-07,9.5367431640625e-07,5.21540641784668e-07,8.940696716308594e-08,2.5331974029541016e-07,4.3213367462158203e-07,1.2998982583667384e-06,1.0,4.172325134277344e-07,8.344650268554688e-07,9.5367431640625e-07,True,True,True,True,True,True
hf-internal-testing/tiny-random-t5,t5,loaded,1,1,8,True,padding,7.152557373046875e-07,8.344650268554688e-07,9.5367431640625e-07,5.21540641784668e-07,1.1920928955078125e-07,3.0547380447387695e-07,3.501772880554199e-07,8.562471407458361e-07,0.9999999403953552,4.172325134277344e-07,8.344650268554688e-07,9.5367431640625e-07,True,True,True,True,True,True
hf-internal-testing/tiny-random-t5,t5,loaded,1,1,8,False,all_ones,3.2782554626464844e-07,6.556510925292969e-07,5.736947059631348e-07,3.0174851417541504e-07,4.470348358154297e-08,2.980232238769531e-07,1.6391277313232422e-07,5.620357796942699e-07,0.9999998807907104,4.172325134277344e-07,6.556510925292969e-07,5.736947059631348e-07,True,True,False,False,False,False
hf-internal-testing/tiny-random-t5,t5,loaded,1,1,8,False,padding,3.2782554626464844e-07,6.556510925292969e-07,5.736947059631348e-07,3.0174851417541504e-07,4.470348358154297e-08,1.7881393432617188e-07,1.341104507446289e-07,3.587304320262774e-07,1.0,4.172325134277344e-07,6.556510925292969e-07,5.736947059631348e-07,True,True,False,False,False,False
hf-internal-testing/tiny-random-t5,t5,loaded,1,1,16,True,all_ones,1.0132789611816406e-06,1.1026859283447266e-06,8.344650268554688e-07,4.917383193969727e-07,3.3527612686157227e-08,2.086162567138672e-07,2.3096799850463867e-07,1.4746045735591906e-06,1.0,4.76837158203125e-07,1.1026859283447266e-06,8.344650268554688e-07,True,True,True,True,True,True
hf-internal-testing/tiny-random-t5,t5,loaded,1,1,16,True,padding,1.0132789611816406e-06,1.1026859283447266e-06,8.344650268554688e-07,4.917383193969727e-07,4.470348358154297e-08,2.2351741790771484e-07,4.0978193283081055e-07,1.3159801710571628e-06,1.0,4.76837158203125e-07,1.1026859283447266e-06,8.344650268554688e-07,True,True,True,True,True,True
