section,step,metric,value
config,n/a,output_dir,/Users/Hoshino/Desktop/privacy_llm_obfuscation/outputs
config,n/a,seed,2026
config,n/a,batch_size,4
config,n/a,d_in,32
config,n/a,d_out,16
config,n/a,true_rank,4
config,n/a,padded_rank,8
config,n/a,alpha,1.0
config,n/a,use_bias,True
config,n/a,num_steps,5
config,n/a,lr,0.01
config,n/a,optimizer,sgd
config,n/a,weight_decay,0.0
config,n/a,adamw_beta1,0.9
config,n/a,adamw_beta2,0.999
config,n/a,adamw_eps,1e-08
config,n/a,use_pad,True
config,n/a,fresh_u_per_step,True
config,n/a,fresh_masks_per_step,True
config,n/a,fresh_dummy_per_step,True
config,n/a,dummy_strategy,paired_cancellation_dummy
config,n/a,dummy_scale,1.0
config,n/a,pad_scale,1.0
config,n/a,recover_grad_x,False
config,n/a,dtype,float64
config,n/a,device,cpu
dummy_strategy,n/a,requested,paired_cancellation_dummy
dummy_strategy,n/a,effective,paired_cancellation_dummy
dummy_strategy,n/a,dummy_size,4
dummy_strategy,n/a,dummy_scale,1.0
dummy_strategy,n/a,fresh_dummy_per_step,True
dummy_strategy,n/a,max_dummy_contribution_norm,0.0
per_step,0,step,0
per_step,0,loss_plain,49.32336467244431
per_step,0,loss_padded,49.323364672444356
per_step,0,loss_diff_abs,4.263256414560601e-14
per_step,0,forward_max_abs_err,2.1316282072803006e-14
per_step,0,dummy_contribution_norm,0.0
per_step,0,grad_a_real_max_abs_err,1.17316096073794e-15
per_step,0,grad_b_real_max_abs_err,1.887379141862766e-15
per_step,0,adapter_a_update_max_abs_err,5.551115123125783e-17
per_step,0,adapter_b_update_max_abs_err,1.9081958235744878e-17
per_step,1,step,1
per_step,1,loss_plain,49.27996814382146
per_step,1,loss_padded,49.27996814382147
per_step,1,loss_diff_abs,7.105427357601002e-15
per_step,1,forward_max_abs_err,2.1760371282653068e-14
per_step,1,dummy_contribution_norm,0.0
per_step,1,grad_a_real_max_abs_err,7.147060721024445e-16
per_step,1,grad_b_real_max_abs_err,7.632783294297951e-16
per_step,1,adapter_a_update_max_abs_err,5.551115123125783e-17
per_step,1,adapter_b_update_max_abs_err,1.3877787807814457e-17
per_step,2,step,2
per_step,2,loss_plain,49.23657819966006
per_step,2,loss_padded,49.23657819966002
per_step,2,loss_diff_abs,3.552713678800501e-14
per_step,2,forward_max_abs_err,1.7763568394002505e-14
per_step,2,dummy_contribution_norm,0.0
per_step,2,grad_a_real_max_abs_err,5.84601811404184e-16
per_step,2,grad_b_real_max_abs_err,1.2212453270876722e-15
per_step,2,adapter_a_update_max_abs_err,5.551115123125783e-17
per_step,2,adapter_b_update_max_abs_err,1.0408340855860843e-17
per_step,3,step,3
per_step,3,loss_plain,49.193046239631535
per_step,3,loss_padded,49.193046239631556
per_step,3,loss_diff_abs,2.1316282072803006e-14
per_step,3,forward_max_abs_err,1.9539925233402755e-14
per_step,3,dummy_contribution_norm,0.0
per_step,3,grad_a_real_max_abs_err,9.228728892196614e-16
per_step,3,grad_b_real_max_abs_err,6.938893903907228e-16
per_step,3,adapter_a_update_max_abs_err,5.551115123125783e-17
per_step,3,adapter_b_update_max_abs_err,1.3877787807814457e-17
per_step,4,step,4
per_step,4,loss_plain,49.149224302646644
per_step,4,loss_padded,49.14922430264663
per_step,4,loss_diff_abs,1.4210854715202004e-14
per_step,4,forward_max_abs_err,1.9539925233402755e-14
per_step,4,dummy_contribution_norm,0.0
per_step,4,grad_a_real_max_abs_err,1.3062467774105357e-15
per_step,4,grad_b_real_max_abs_err,1.2212453270876722e-15
per_step,4,adapter_a_update_max_abs_err,1.1102230246251565e-16
per_step,4,adapter_b_update_max_abs_err,2.0816681711721685e-17
summary,final,max_loss_diff,4.263256414560601e-14
summary,final,max_grad_a_real_err,1.3062467774105357e-15
summary,final,max_grad_b_real_err,1.887379141862766e-15
summary,final,max_dummy_contribution_norm,0.0
summary,final,final_adapter_a_update_err,1.1102230246251565e-16
summary,final,final_adapter_b_update_err,2.0816681711721685e-17
summary,final,allclose,True
optimizer_handling,n/a,location,trusted
optimizer_handling,n/a,stage_7_2_status,trusted_optimizer_rank_r
optimizer_handling,n/a,optimizer,sgd
optimizer_handling,n/a,lr,0.01
optimizer_handling,n/a,weight_decay,0.0
optimizer_handling,n/a,trainable_adapter_shape_a,"[32, 4]"
optimizer_handling,n/a,trainable_adapter_shape_b,"[4, 16]"
optimizer_handling,n/a,optimizer_state_shape_a,
optimizer_handling,n/a,optimizer_state_shape_b,
optimizer_handling,n/a,optimizer_state_contains_dummy,False
optimizer_handling,n/a,dummy_update_applied,False
optimizer_handling,n/a,note,"Optimizer state (and the trainable A_real / B_real tensors) is sized to true_rank, never padded_rank. The dummy slice is re-sampled from scratch each step and never enters the optimizer."
shape_level_rank_hiding,n/a,a_tilde_pad_shape,"[32, 8]"
shape_level_rank_hiding,n/a,b_tilde_pad_shape,"[8, 16]"
shape_level_rank_hiding,n/a,visible_rank_from_a_shape,8
shape_level_rank_hiding,n/a,visible_rank_from_b_shape,8
shape_level_rank_hiding,n/a,true_rank_hidden_from_shape,True
shape_level_rank_hiding,n/a,padded_rank_visible,True
shape_level_rank_hiding,n/a,note,Stage 7.2 hides true_rank from the dimensions of A_pad_tilde / B_pad_tilde / grad_A_pad_tilde / grad_B_pad_tilde. The padded_rank itself remains visible — see the security proxy for residual spectral / gradient-side inference risk.
