section,strategy,metric,value
config,n/a,output_dir,/Users/Hoshino/Desktop/privacy_llm_obfuscation/outputs
config,n/a,seed,2026
config,n/a,d_in,32
config,n/a,d_out,16
config,n/a,rank,4
config,n/a,alpha,1.0
config,n/a,use_bias,True
config,n/a,num_trials,32
config,n/a,pad_scale,1.0
config,n/a,dtype,float64
config,n/a,device,cpu
config,n/a,strategies,unmasked_adapter_baseline|fixed_masks_fixed_u|fresh_u_only|fresh_masks_fresh_u|fresh_masks_fresh_u_with_pad
config,n/a,membership_trials_per_sample,8
adapter_extraction,unmasked_adapter_baseline,delta_w_recovery_rel_l2_mean,0.0
adapter_extraction,unmasked_adapter_baseline,delta_w_recovery_rel_l2_min,0.0
adapter_extraction,unmasked_adapter_baseline,adapter_a_recovery_rel_l2_mean,0.0
adapter_extraction,unmasked_adapter_baseline,adapter_b_recovery_rel_l2_mean,0.0
adapter_extraction,unmasked_adapter_baseline,rank_signature_a,4
adapter_extraction,unmasked_adapter_baseline,rank_signature_b,4
adapter_extraction,unmasked_adapter_baseline,configured_rank,4
adapter_extraction,unmasked_adapter_baseline,rank_visible_in_a_tilde_shape,True
adapter_extraction,unmasked_adapter_baseline,subspace_similarity_a_mean,0.9999999999999998
adapter_extraction,unmasked_adapter_baseline,subspace_similarity_b_mean,1.0
adapter_extraction,unmasked_adapter_baseline,singular_value_similarity_a_mean,1.0000000000000002
adapter_extraction,unmasked_adapter_baseline,singular_value_similarity_b_mean,1.0
adapter_extraction,unmasked_adapter_baseline,num_trials,32
adapter_extraction,unmasked_adapter_baseline,exact_recovery,True
adapter_extraction,unmasked_adapter_baseline,interpretation,Adapter is fully exposed; ΔW = A B reconstructible exactly.
adapter_extraction,fixed_masks_fixed_u,delta_w_recovery_rel_l2_mean,1.4581158095031208
adapter_extraction,fixed_masks_fixed_u,delta_w_recovery_rel_l2_min,1.4581158095031208
adapter_extraction,fixed_masks_fixed_u,adapter_a_recovery_rel_l2_mean,1.4406830421865748
adapter_extraction,fixed_masks_fixed_u,adapter_b_recovery_rel_l2_mean,1.453665242357273
adapter_extraction,fixed_masks_fixed_u,rank_signature_a,4
adapter_extraction,fixed_masks_fixed_u,rank_signature_b,4
adapter_extraction,fixed_masks_fixed_u,configured_rank,4
adapter_extraction,fixed_masks_fixed_u,rank_visible_in_a_tilde_shape,True
adapter_extraction,fixed_masks_fixed_u,subspace_similarity_a_mean,0.25627004448227014
adapter_extraction,fixed_masks_fixed_u,subspace_similarity_b_mean,0.4366138268314591
adapter_extraction,fixed_masks_fixed_u,singular_value_similarity_a_mean,1.0
adapter_extraction,fixed_masks_fixed_u,singular_value_similarity_b_mean,1.0
adapter_extraction,fixed_masks_fixed_u,num_trials,32
adapter_extraction,fixed_masks_fixed_u,exact_recovery,False
adapter_extraction,fixed_masks_fixed_u,interpretation,"Recovery error is large (rel L2 > 0.5) and subspace similarity is low; under this proxy, mask makes naive extraction unreliable."
adapter_extraction,fresh_u_only,delta_w_recovery_rel_l2_mean,1.4581158095031206
adapter_extraction,fresh_u_only,delta_w_recovery_rel_l2_min,1.4581158095031201
adapter_extraction,fresh_u_only,adapter_a_recovery_rel_l2_mean,1.4220831217395475
adapter_extraction,fresh_u_only,adapter_b_recovery_rel_l2_mean,1.4071503734269348
adapter_extraction,fresh_u_only,rank_signature_a,4
adapter_extraction,fresh_u_only,rank_signature_b,4
adapter_extraction,fresh_u_only,configured_rank,4
adapter_extraction,fresh_u_only,rank_visible_in_a_tilde_shape,True
adapter_extraction,fresh_u_only,subspace_similarity_a_mean,0.25627004448227014
adapter_extraction,fresh_u_only,subspace_similarity_b_mean,0.436613826831459
adapter_extraction,fresh_u_only,singular_value_similarity_a_mean,1.0000000000000002
adapter_extraction,fresh_u_only,singular_value_similarity_b_mean,1.0
adapter_extraction,fresh_u_only,num_trials,32
adapter_extraction,fresh_u_only,exact_recovery,False
adapter_extraction,fresh_u_only,interpretation,"Recovery error is large (rel L2 > 0.5) and subspace similarity is low; under this proxy, mask makes naive extraction unreliable."
adapter_extraction,fresh_masks_fresh_u,delta_w_recovery_rel_l2_mean,1.421451041123386
adapter_extraction,fresh_masks_fresh_u,delta_w_recovery_rel_l2_min,1.3581555705352828
adapter_extraction,fresh_masks_fresh_u,adapter_a_recovery_rel_l2_mean,1.414296854391157
adapter_extraction,fresh_masks_fresh_u,adapter_b_recovery_rel_l2_mean,1.400706870941724
adapter_extraction,fresh_masks_fresh_u,rank_signature_a,4
adapter_extraction,fresh_masks_fresh_u,rank_signature_b,4
adapter_extraction,fresh_masks_fresh_u,configured_rank,4
adapter_extraction,fresh_masks_fresh_u,rank_visible_in_a_tilde_shape,True
adapter_extraction,fresh_masks_fresh_u,subspace_similarity_a_mean,0.3095163989437129
adapter_extraction,fresh_masks_fresh_u,subspace_similarity_b_mean,0.39598629527406926
adapter_extraction,fresh_masks_fresh_u,singular_value_similarity_a_mean,1.0000000000000002
adapter_extraction,fresh_masks_fresh_u,singular_value_similarity_b_mean,1.0
adapter_extraction,fresh_masks_fresh_u,num_trials,32
adapter_extraction,fresh_masks_fresh_u,exact_recovery,False
adapter_extraction,fresh_masks_fresh_u,interpretation,"Recovery error is large (rel L2 > 0.5) and subspace similarity is low; under this proxy, mask makes naive extraction unreliable."
adapter_extraction,fresh_masks_fresh_u_with_pad,delta_w_recovery_rel_l2_mean,1.4105836694753255
adapter_extraction,fresh_masks_fresh_u_with_pad,delta_w_recovery_rel_l2_min,1.3186748695640653
adapter_extraction,fresh_masks_fresh_u_with_pad,adapter_a_recovery_rel_l2_mean,1.4100895968196243
adapter_extraction,fresh_masks_fresh_u_with_pad,adapter_b_recovery_rel_l2_mean,1.3977068230639045
adapter_extraction,fresh_masks_fresh_u_with_pad,rank_signature_a,4
adapter_extraction,fresh_masks_fresh_u_with_pad,rank_signature_b,4
adapter_extraction,fresh_masks_fresh_u_with_pad,configured_rank,4
adapter_extraction,fresh_masks_fresh_u_with_pad,rank_visible_in_a_tilde_shape,True
adapter_extraction,fresh_masks_fresh_u_with_pad,subspace_similarity_a_mean,0.2786884231134426
adapter_extraction,fresh_masks_fresh_u_with_pad,subspace_similarity_b_mean,0.4343243649531124
adapter_extraction,fresh_masks_fresh_u_with_pad,singular_value_similarity_a_mean,1.0000000000000002
adapter_extraction,fresh_masks_fresh_u_with_pad,singular_value_similarity_b_mean,1.0
adapter_extraction,fresh_masks_fresh_u_with_pad,num_trials,32
adapter_extraction,fresh_masks_fresh_u_with_pad,exact_recovery,False
adapter_extraction,fresh_masks_fresh_u_with_pad,interpretation,"Recovery error is large (rel L2 > 0.5) and subspace similarity is low; under this proxy, mask makes naive extraction unreliable."
gradient_leakage,unmasked_adapter_baseline,private_input_X.visibility,trusted
gradient_leakage,unmasked_adapter_baseline,private_input_X.contains_plaintext,True
gradient_leakage,unmasked_adapter_baseline,private_input_X.leakage_risk,high
gradient_leakage,unmasked_adapter_baseline,private_input_X.mitigation,Right-mask + optional input pad before crossing the boundary.
gradient_leakage,unmasked_adapter_baseline,private_input_X.stage_7_0_status,covered
gradient_leakage,unmasked_adapter_baseline,private_target_Y.visibility,trusted
gradient_leakage,unmasked_adapter_baseline,private_target_Y.contains_plaintext,True
gradient_leakage,unmasked_adapter_baseline,private_target_Y.leakage_risk,low
gradient_leakage,unmasked_adapter_baseline,private_target_Y.mitigation,Stays trusted; loss computed inside the trusted side.
gradient_leakage,unmasked_adapter_baseline,private_target_Y.stage_7_0_status,covered
gradient_leakage,unmasked_adapter_baseline,adapter_A.visibility,trusted
gradient_leakage,unmasked_adapter_baseline,adapter_A.contains_plaintext,True
gradient_leakage,unmasked_adapter_baseline,adapter_A.leakage_risk,high
gradient_leakage,unmasked_adapter_baseline,adapter_A.mitigation,A_tilde = N_in^{-1} A U; fresh U per call.
gradient_leakage,unmasked_adapter_baseline,adapter_A.stage_7_0_status,covered
gradient_leakage,unmasked_adapter_baseline,adapter_B.visibility,trusted
gradient_leakage,unmasked_adapter_baseline,adapter_B.contains_plaintext,True
gradient_leakage,unmasked_adapter_baseline,adapter_B.leakage_risk,high
gradient_leakage,unmasked_adapter_baseline,adapter_B.mitigation,B_tilde = U^{-1} B N_out; fresh U per call.
gradient_leakage,unmasked_adapter_baseline,adapter_B.stage_7_0_status,covered
gradient_leakage,unmasked_adapter_baseline,grad_A.visibility,trusted
gradient_leakage,unmasked_adapter_baseline,grad_A.contains_plaintext,True
gradient_leakage,unmasked_adapter_baseline,grad_A.leakage_risk,low
