section,step,metric,value
config,n/a,output_dir,/Users/Hoshino/Desktop/privacy_llm_obfuscation/outputs
config,n/a,seed,2026
config,n/a,batch_size,4
config,n/a,d_in,32
config,n/a,d_out,16
config,n/a,rank,4
config,n/a,alpha,1.0
config,n/a,use_bias,True
config,n/a,num_steps,5
config,n/a,lr,0.01
config,n/a,optimizer,sgd
config,n/a,weight_decay,0.0
config,n/a,adamw_beta1,0.9
config,n/a,adamw_beta2,0.999
config,n/a,adamw_eps,1e-08
config,n/a,use_pad,True
config,n/a,fresh_u_per_step,True
config,n/a,fresh_masks_per_step,True
config,n/a,pad_scale,1.0
config,n/a,dtype,float64
config,n/a,device,cpu
per_step,0,step,0
per_step,0,loss_plain,49.32336467244431
per_step,0,loss_masked,49.3233646724443
per_step,0,loss_diff_abs,1.4210854715202004e-14
per_step,0,forward_max_abs_err,1.6209256159527285e-14
per_step,0,grad_a_max_abs_err,2.168404344971009e-18
per_step,0,grad_b_max_abs_err,5.551115123125783e-16
per_step,0,adapter_a_update_max_abs_err,0.0
per_step,0,adapter_b_update_max_abs_err,5.204170427930421e-18
per_step,1,step,1
per_step,1,loss_plain,49.27996814382146
per_step,1,loss_masked,49.27996814382148
per_step,1,loss_diff_abs,1.4210854715202004e-14
per_step,1,forward_max_abs_err,1.7763568394002505e-14
per_step,1,grad_a_max_abs_err,4.7704895589362195e-18
per_step,1,grad_b_max_abs_err,6.661338147750939e-16
per_step,1,adapter_a_update_max_abs_err,0.0
per_step,1,adapter_b_update_max_abs_err,1.0408340855860843e-17
per_step,2,step,2
per_step,2,loss_plain,49.23657819966006
per_step,2,loss_masked,49.236578199660016
per_step,2,loss_diff_abs,4.263256414560601e-14
per_step,2,forward_max_abs_err,2.842170943040401e-14
per_step,2,grad_a_max_abs_err,1.3877787807814457e-17
per_step,2,grad_b_max_abs_err,6.38378239159465e-16
per_step,2,adapter_a_update_max_abs_err,0.0
per_step,2,adapter_b_update_max_abs_err,1.214306433183765e-17
per_step,3,step,3
per_step,3,loss_plain,49.193046239631535
per_step,3,loss_masked,49.1930462396315
per_step,3,loss_diff_abs,3.552713678800501e-14
per_step,3,forward_max_abs_err,2.3092638912203256e-14
per_step,3,grad_a_max_abs_err,4.163336342344337e-17
per_step,3,grad_b_max_abs_err,8.396061623727746e-16
per_step,3,adapter_a_update_max_abs_err,0.0
per_step,3,adapter_b_update_max_abs_err,1.734723475976807e-17
per_step,4,step,4
per_step,4,loss_plain,49.149224302646644
per_step,4,loss_masked,49.149224302646644
per_step,4,loss_diff_abs,0.0
per_step,4,forward_max_abs_err,2.1316282072803006e-14
per_step,4,grad_a_max_abs_err,2.7755575615628914e-17
per_step,4,grad_b_max_abs_err,5.551115123125783e-16
per_step,4,adapter_a_update_max_abs_err,4.336808689942018e-19
per_step,4,adapter_b_update_max_abs_err,1.734723475976807e-17
summary,final,max_loss_diff,4.263256414560601e-14
summary,final,max_grad_a_err,4.163336342344337e-17
summary,final,max_grad_b_err,8.396061623727746e-16
summary,final,final_adapter_a_update_err,4.336808689942018e-19
summary,final,final_adapter_b_update_err,1.734723475976807e-17
summary,final,final_output_err,1.7763568394002505e-14
summary,final,allclose,True
gradient_handling,n/a,backward_location,trusted
gradient_handling,n/a,optimizer_state_location,trusted
gradient_handling,n/a,adapter_location,trusted
gradient_handling,n/a,private_data_location,trusted
gradient_handling,n/a,trusted_backward_status,training backward remains trusted in Stage 7.0 prototype
gradient_handling,n/a,masked_backward_status,not_implemented; deferred to Stage 7.1 (masked backward / gradient-side obfuscation)
gradient_handling,n/a,merge_adapter_into_w,False
gpu_visibility,n/a,x_tilde,True
gpu_visibility,n/a,w_tilde,True
gpu_visibility,n/a,a_tilde,True
gpu_visibility,n/a,b_tilde,True
gpu_visibility,n/a,bias_tilde,True
gpu_visibility,n/a,pad_compensation,True
gpu_visibility,n/a,raw_x,False
gpu_visibility,n/a,raw_a,False
gpu_visibility,n/a,raw_b,False
gpu_visibility,n/a,grad_a,False
gpu_visibility,n/a,grad_b,False
gpu_visibility,n/a,optimizer_state,False
gpu_visibility,n/a,private_target_y,False
pad_compensation,n/a,use_pad,True
pad_compensation,n/a,pad_scale,1.0
pad_compensation,n/a,compensation_formula,C = T_in W N_out + (alpha / r) T_in A B N_out
pad_compensation,n/a,is_trusted_only,True
pad_compensation,n/a,forward_err_under_pad,2.842170943040401e-14
