section,attack,strategy,metric,value,notes
config,n/a,n/a,output_dir,/Users/Hoshino/Desktop/privacy_llm_obfuscation/outputs,
config,n/a,n/a,seed,2026,
config,n/a,n/a,batch_sizes,1|2|4|8,
config,n/a,n/a,seq_lens,4|8|16,
config,n/a,n/a,true_ranks,2|4|8,
config,n/a,n/a,padded_ranks,8|16,
config,n/a,n/a,num_lora_modules,2|4|7|14,
config,n/a,n/a,optimizers,sgd|adamw,
config,n/a,n/a,timing_noise_std,0.05,
config,n/a,n/a,constant_time_training_mode,proxy_equalized,
config,n/a,n/a,samples_per_config,8,
config,n/a,n/a,base_hidden,64,
config,n/a,n/a,base_intermediate,128,
config,n/a,n/a,gpu_cost_per_flop_ms,1e-09,
config,n/a,n/a,trusted_cost_per_flop_ms,4e-09,
config,n/a,n/a,mask_gen_cost_per_flop_ms,4e-09,
config,n/a,n/a,boundary_call_cost_ms,0.02,
config,n/a,n/a,base_overhead_ms,0.1,
config,n/a,n/a,rank_padding_dummy_cost_ms,0.01,
config,n/a,n/a,dtype,float64,
config,n/a,n/a,device,cpu,
cost_model_constants,n/a,n/a,gpu_cost_per_flop_ms,1e-09,
cost_model_constants,n/a,n/a,trusted_cost_per_flop_ms,4e-09,
cost_model_constants,n/a,n/a,mask_gen_cost_per_flop_ms,4e-09,
cost_model_constants,n/a,n/a,boundary_call_cost_ms,0.02,
cost_model_constants,n/a,n/a,base_overhead_ms,0.1,
cost_model_constants,n/a,n/a,rank_padding_dummy_cost_ms,0.01,
cost_model_constants,n/a,n/a,timing_noise_std,0.05,
leakage_tasks_off,batch_size,constant_time_off,classification_accuracy,0.2588975694444444,
leakage_tasks_off,batch_size,constant_time_off,random_chance_baseline,0.25,
leakage_tasks_off,batch_size,constant_time_off,bucket_separation,0.01743125885867377,
leakage_tasks_off,batch_size,constant_time_off,risk_level,low,
leakage_tasks_off,seq_len,constant_time_off,classification_accuracy,0.3404947916666667,
leakage_tasks_off,seq_len,constant_time_off,random_chance_baseline,0.3333333333333333,
leakage_tasks_off,seq_len,constant_time_off,bucket_separation,0.012521808709915656,
leakage_tasks_off,seq_len,constant_time_off,risk_level,low,
