section,attack,strategy,metric,value,notes
config,n/a,n/a,output_dir,/Users/Hoshino/Desktop/privacy_llm_obfuscation/outputs,
config,n/a,n/a,seed,2026,
config,n/a,n/a,num_layers,2,
config,n/a,n/a,hidden_size,32,
config,n/a,n/a,intermediate_size,64,
config,n/a,n/a,true_ranks,2|4,
config,n/a,n/a,padded_rank,8,
config,n/a,n/a,alpha,1.0,
config,n/a,n/a,num_trials,32,
config,n/a,n/a,use_pad,True,
config,n/a,n/a,dummy_strategy,paired_cancellation_dummy,
config,n/a,n/a,pad_scale,1.0,
config,n/a,n/a,dummy_scale,1.0,
config,n/a,n/a,membership_trials_per_sample,6,
config,n/a,n/a,membership_num_steps,3,
config,n/a,n/a,dtype,float64,
config,n/a,n/a,device,cpu,
cross_layer_adapter_linkage,cross_layer_linkage,fixed_masks_shared_u,layer_linkability_auc,0.46814047884778914,
cross_layer_adapter_linkage,cross_layer_linkage,fixed_masks_shared_u,module_identity_retrieval_top1,0.30357142857142855,
cross_layer_adapter_linkage,cross_layer_linkage,fixed_masks_shared_u,same_module_similarity,0.14233743579427524,
cross_layer_adapter_linkage,cross_layer_linkage,fixed_masks_shared_u,different_module_similarity,0.133993202960156,
cross_layer_adapter_linkage,cross_layer_linkage,fixed_masks_shared_u,risk_level,high,
cross_layer_adapter_linkage,cross_layer_linkage,independent_u_per_layer,layer_linkability_auc,0.5016309258078231,
cross_layer_adapter_linkage,cross_layer_linkage,independent_u_per_layer,module_identity_retrieval_top1,0.32142857142857145,
cross_layer_adapter_linkage,cross_layer_linkage,independent_u_per_layer,same_module_similarity,0.13366858787881472,
cross_layer_adapter_linkage,cross_layer_linkage,independent_u_per_layer,different_module_similarity,0.13122961894763346,
cross_layer_adapter_linkage,cross_layer_linkage,independent_u_per_layer,risk_level,medium,
cross_layer_adapter_linkage,cross_layer_linkage,fresh_masks_independent_u,layer_linkability_auc,0.5135655824829932,
cross_layer_adapter_linkage,cross_layer_linkage,fresh_masks_independent_u,module_identity_retrieval_top1,0.31473214285714285,
cross_layer_adapter_linkage,cross_layer_linkage,fresh_masks_independent_u,same_module_similarity,0.1325510247254202,
