section,scope,layer,module,metric,value,notes
config,n/a,n/a,n/a,output_dir,/Users/Hoshino/Desktop/privacy_llm_obfuscation/outputs,
config,n/a,n/a,n/a,seed,2026,
config,n/a,n/a,n/a,num_layers,2,
config,n/a,n/a,n/a,hidden_size,32,
config,n/a,n/a,n/a,intermediate_size,64,
config,n/a,n/a,n/a,vocab_size,128,
config,n/a,n/a,n/a,seq_len,8,
config,n/a,n/a,n/a,batch_size,4,
config,n/a,n/a,n/a,true_rank,4,
config,n/a,n/a,n/a,padded_rank,8,
config,n/a,n/a,n/a,alpha,1.0,
config,n/a,n/a,n/a,num_steps,3,
config,n/a,n/a,n/a,lr,0.01,
config,n/a,n/a,n/a,optimizer,sgd,
config,n/a,n/a,n/a,weight_decay,0.0,
config,n/a,n/a,n/a,adamw_beta1,0.9,
config,n/a,n/a,n/a,adamw_beta2,0.999,
config,n/a,n/a,n/a,adamw_eps,1e-08,
config,n/a,n/a,n/a,use_pad,True,
config,n/a,n/a,n/a,fresh_u_per_step,True,
config,n/a,n/a,n/a,fresh_masks_per_step,True,
config,n/a,n/a,n/a,fresh_dummy_per_step,True,
config,n/a,n/a,n/a,dummy_strategy,paired_cancellation_dummy,
config,n/a,n/a,n/a,dummy_scale,1.0,
config,n/a,n/a,n/a,pad_scale,1.0,
config,n/a,n/a,n/a,lora_targets,q_proj|k_proj|v_proj|o_proj|gate_proj|up_proj|down_proj,
config,n/a,n/a,n/a,dtype,float64,
config,n/a,n/a,n/a,device,cpu,
training_correctness,summary,n/a,n/a,max_loss_diff,1.0658141036401503e-14,
training_correctness,summary,n/a,n/a,max_forward_err,9.814371537686384e-14,
training_correctness,summary,n/a,n/a,max_grad_a_real_err,1.8446615762668372e-15,
training_correctness,summary,n/a,n/a,max_grad_b_real_err,3.497202527569243e-15,
training_correctness,summary,n/a,n/a,max_update_a_err,5.551115123125783e-17,
training_correctness,summary,n/a,n/a,max_update_b_err,6.938893903907228e-17,
training_correctness,summary,n/a,n/a,max_dummy_contribution_norm,3.57572595327284e-15,
training_correctness,summary,n/a,n/a,tolerance_loss,1e-09,
training_correctness,summary,n/a,n/a,tolerance_forward,1e-09,
training_correctness,summary,n/a,n/a,tolerance_grad,1e-07,
training_correctness,summary,n/a,n/a,tolerance_update,1e-07,
training_correctness,summary,n/a,n/a,tolerance_dummy,1e-09,
training_correctness,summary,n/a,n/a,allclose,True,
training_correctness,step_0,n/a,n/a,loss_plain,10.991006819418232,
training_correctness,step_0,n/a,n/a,loss_masked,10.991006819418232,
training_correctness,step_0,n/a,n/a,loss_diff_abs,0.0,
training_correctness,step_0,n/a,n/a,logits_max_abs_err,1.2967404927621828e-13,
training_correctness,step_0,n/a,n/a,max_forward_err,9.814371537686384e-14,
training_correctness,step_0,n/a,n/a,max_grad_a_real_err,1.0926589494308914e-15,
training_correctness,step_0,n/a,n/a,max_grad_b_real_err,3.497202527569243e-15,
training_correctness,step_0,n/a,n/a,max_update_a_err,5.551115123125783e-17,
training_correctness,step_0,n/a,n/a,max_update_b_err,3.469446951953614e-17,
training_correctness,step_0,n/a,n/a,max_dummy_contribution_norm,3.4475115469429723e-15,
training_correctness,step_1,n/a,n/a,loss_plain,10.843240592001603,
training_correctness,step_1,n/a,n/a,loss_masked,10.843240592001614,
training_correctness,step_1,n/a,n/a,loss_diff_abs,1.0658141036401503e-14,
training_correctness,step_1,n/a,n/a,logits_max_abs_err,1.3322676295501878e-13,
training_correctness,step_1,n/a,n/a,max_forward_err,7.72715225139109e-14,
training_correctness,step_1,n/a,n/a,max_grad_a_real_err,1.407728100755179e-15,
training_correctness,step_1,n/a,n/a,max_grad_b_real_err,3.3584246494910985e-15,
training_correctness,step_1,n/a,n/a,max_update_a_err,5.551115123125783e-17,
training_correctness,step_1,n/a,n/a,max_update_b_err,4.5102810375396984e-17,
training_correctness,step_1,n/a,n/a,max_dummy_contribution_norm,3.565276306643763e-15,
training_correctness,step_2,n/a,n/a,loss_plain,10.701020205934476,
training_correctness,step_2,n/a,n/a,loss_masked,10.701020205934485,
training_correctness,step_2,n/a,n/a,loss_diff_abs,8.881784197001252e-15,
training_correctness,step_2,n/a,n/a,logits_max_abs_err,9.459100169806334e-14,
training_correctness,step_2,n/a,n/a,max_forward_err,6.472600233564663e-14,
training_correctness,step_2,n/a,n/a,max_grad_a_real_err,1.8446615762668372e-15,
training_correctness,step_2,n/a,n/a,max_grad_b_real_err,2.886579864025407e-15,
training_correctness,step_2,n/a,n/a,max_update_a_err,5.551115123125783e-17,
training_correctness,step_2,n/a,n/a,max_update_b_err,6.938893903907228e-17,
training_correctness,step_2,n/a,n/a,max_dummy_contribution_norm,3.57572595327284e-15,
per_layer_metrics,layer_0.q_proj,0,q_proj,true_rank,4,
per_layer_metrics,layer_0.q_proj,0,q_proj,padded_rank,8,
per_layer_metrics,layer_0.q_proj,0,q_proj,forward_max_abs_err,8.992806499463768e-15,
per_layer_metrics,layer_0.q_proj,0,q_proj,grad_a_real_max_abs_err,5.160802341031001e-16,
per_layer_metrics,layer_0.q_proj,0,q_proj,grad_b_real_max_abs_err,2.914335439641036e-15,
per_layer_metrics,layer_0.q_proj,0,q_proj,update_a_max_abs_err,5.551115123125783e-17,
per_layer_metrics,layer_0.q_proj,0,q_proj,update_b_max_abs_err,5.551115123125783e-17,
