section,island,mlp_type,mask_family,activation_type,hidden_size,intermediate_size,use_pad,used_pad_at_linear_boundary,online_extra_matmul_count,orthogonality_error,mean_preservation_error,max_abs_error,mean_abs_error,relative_l2_error,cosine_similarity,allclose
norm_island,rmsnorm_orthogonal_affine_fold,,orthogonal,,64,,False,False,0,4.172325134277344e-07,,1.52587890625e-05,2.7451201276562642e-06,3.7628549875989847e-07,0.9999999403953552,True
norm_island,layernorm_mean_preserving_affine_fold,,mean_preserving_orthogonal,,64,,False,False,0,2.980232238769531e-07,2.384185791015625e-07,1.71661376953125e-05,3.3683254514471628e-06,3.253108218359557e-07,1.0,True
norm_island,rmsnorm_orthogonal_affine_fold,,orthogonal,,128,,False,False,0,5.364418029785156e-07,,2.288818359375e-05,4.157026523898821e-06,5.104195111016452e-07,0.9999998807907104,True
norm_island,layernorm_mean_preserving_affine_fold,,mean_preserving_orthogonal,,128,,False,False,0,4.172325134277344e-07,2.384185791015625e-07,2.47955322265625e-05,5.0556468522700015e-06,4.212492115129862e-07,0.9999998211860657,True
activation_island,activation_permutation,,permutation,gelu,64,,False,False,0,,,0.0,0.0,0.0,1.0,True
activation_island,activation_permutation,,permutation,relu,64,,False,False,0,,,0.0,0.0,0.0,1.0,True
activation_island,activation_permutation,,permutation,silu,64,,False,False,0,,,0.0,0.0,0.0,1.0,True
activation_island,swiglu_paired_permutation,,paired_permutation,swiglu,64,,False,False,0,,,0.0,0.0,0.0,0.9999999403953552,True
activation_island,activation_permutation,,permutation,gelu,128,,False,False,0,,,0.0,0.0,0.0,1.0,True
activation_island,activation_permutation,,permutation,relu,128,,False,False,0,,,0.0,0.0,0.0,1.0,True
activation_island,activation_permutation,,permutation,silu,128,,False,False,0,,,0.0,0.0,0.0,1.0,True
activation_island,swiglu_paired_permutation,,paired_permutation,swiglu,128,,False,False,0,,,0.0,0.0,0.0,0.9999998807907104,True
mlp_island,mlp_island,gelu_mlp,dense_invertible+permutation+dense_invertible,gelu,64,256,True,True,0,,,8.344650268554688e-07,1.8176814364778693e-07,8.277748975160648e-07,1.0,True
mlp_island,mlp_island,relu_mlp,dense_invertible+permutation+dense_invertible,relu,64,256,True,True,0,,,7.748603820800781e-07,1.9000103179678263e-07,7.041779213068367e-07,1.0,True
mlp_island,mlp_island,silu_mlp,dense_invertible+permutation+dense_invertible,silu,64,256,True,True,0,,,7.152557373046875e-07,1.546680437058967e-07,7.276962605828885e-07,1.0,True
mlp_island,mlp_island,swiglu_mlp,dense_invertible+paired_permutation+dense_invertible,swiglu,64,256,True,True,0,,,4.936009645462036e-07,1.0288894713994523e-07,9.229742090610671e-07,0.9999998211860657,True
mlp_island,mlp_island,gelu_mlp,dense_invertible+permutation+dense_invertible,gelu,64,256,False,False,0,,,6.854534149169922e-07,1.462492207338073e-07,6.437763886424364e-07,0.9999998211860657,True
mlp_island,mlp_island,relu_mlp,dense_invertible+permutation+dense_invertible,relu,64,256,False,False,0,,,8.344650268554688e-07,1.441495669496362e-07,5.264033120511158e-07,1.0,True
mlp_island,mlp_island,silu_mlp,dense_invertible+permutation+dense_invertible,silu,64,256,False,False,0,,,7.152557373046875e-07,1.3250337360659614e-07,6.35539890936343e-07,1.0,True
mlp_island,mlp_island,swiglu_mlp,dense_invertible+paired_permutation+dense_invertible,swiglu,64,256,False,False,0,,,4.172325134277344e-07,7.891756581557274e-08,7.409144586745242e-07,1.0,True
mlp_island,mlp_island,gelu_mlp,dense_invertible+permutation+dense_invertible,gelu,128,512,True,True,0,,,1.1324882507324219e-06,2.463343946601526e-07,1.0075704039991251e-06,0.9999999403953552,True
mlp_island,mlp_island,relu_mlp,dense_invertible+permutation+dense_invertible,relu,128,512,True,True,0,,,1.1622905731201172e-06,2.679286694728944e-07,9.20555805805634e-07,0.9999995231628418,True
mlp_island,mlp_island,silu_mlp,dense_invertible+permutation+dense_invertible,silu,128,512,True,True,0,,,1.3113021850585938e-06,2.2270450017458643e-07,1.0215151178272208e-06,1.0,True
mlp_island,mlp_island,swiglu_mlp,dense_invertible+paired_permutation+dense_invertible,swiglu,128,512,True,True,0,,,7.450580596923828e-07,1.3940147880475706e-07,1.17096021767793e-06,1.0,True
mlp_island,mlp_island,gelu_mlp,dense_invertible+permutation+dense_invertible,gelu,128,512,False,False,0,,,1.3709068298339844e-06,2.096836198006713e-07,8.761244316701777e-07,0.9999999403953552,True
mlp_island,mlp_island,relu_mlp,dense_invertible+permutation+dense_invertible,relu,128,512,False,False,0,,,1.2516975402832031e-06,2.1124435534147779e-07,7.364665179920848e-07,0.9999997615814209,True
mlp_island,mlp_island,silu_mlp,dense_invertible+permutation+dense_invertible,silu,128,512,False,False,0,,,1.1920928955078125e-06,1.9829592190490075e-07,8.765382517594844e-07,1.0,True
mlp_island,mlp_island,swiglu_mlp,dense_invertible+paired_permutation+dense_invertible,swiglu,128,512,False,False,0,,,5.066394805908203e-07,1.1758729101529752e-07,1.0017381555371685e-06,1.0,True
