section,strategy,metric,value,notes
permutation_recovery,fixed_permutation,top1_recovery_rate,0.25,high (stable across sessions; aggregate signature is sharp)
permutation_recovery,fixed_permutation,top5_recovery_rate,0.8125,high (stable across sessions; aggregate signature is sharp)
permutation_recovery,fixed_permutation,mean_correct_rank,2.515625,high (stable across sessions; aggregate signature is sharp)
permutation_recovery,fixed_permutation,mean_signature_error,0.017081558993859068,high (stable across sessions; aggregate signature is sharp)
permutation_recovery,fresh_permutation_per_session,top1_recovery_rate,0.1005859375,moderate (per-session recovery only; no cross-session alignment)
permutation_recovery,fresh_permutation_per_session,top5_recovery_rate,0.474609375,moderate (per-session recovery only; no cross-session alignment)
permutation_recovery,fresh_permutation_per_session,mean_correct_rank,7.1943359375,moderate (per-session recovery only; no cross-session alignment)
permutation_recovery,fresh_permutation_per_session,mean_signature_error,0.05077203536291895,moderate (per-session recovery only; no cross-session alignment)
permutation_recovery,permutation_pool,top1_recovery_rate,0.21875,moderate-to-high (per-perm signature is sharper than fresh but weaker than fixed)
permutation_recovery,permutation_pool,top5_recovery_rate,0.67578125,moderate-to-high (per-perm signature is sharper than fresh but weaker than fixed)
permutation_recovery,permutation_pool,mean_correct_rank,4.17578125,moderate-to-high (per-perm signature is sharper than fresh but weaker than fixed)
permutation_recovery,permutation_pool,mean_signature_error,0.02729351019878576,moderate-to-high (per-perm signature is sharper than fresh but weaker than fixed)
permutation_recovery,dense_sandwich_reference,top1_recovery_rate,0.0205078125,near random chance (column statistics destroyed by dense mixing)
permutation_recovery,dense_sandwich_reference,top5_recovery_rate,0.0869140625,near random chance (column statistics destroyed by dense mixing)
permutation_recovery,dense_sandwich_reference,mean_correct_rank,30.6533203125,near random chance (column statistics destroyed by dense mixing)
permutation_recovery,dense_sandwich_reference,mean_signature_error,0.23861021355215928,near random chance (column statistics destroyed by dense mixing)
permutation_recovery,_meta,random_chance_top1,0.015625,1 / hidden_size
island_linkability,fixed_perm_no_pad,mean_pairwise_cosine,1.0000000000000016,highest
island_linkability,fixed_perm_no_pad,max_pairwise_cosine,1.0000000000000013,highest
island_linkability,fixed_perm_no_pad,min_pairwise_cosine,1.000000000000001,highest
island_linkability,fixed_perm_no_pad,mean_pairwise_l2,0.0,highest
island_linkability,fixed_perm_no_pad,max_pairwise_l2,0.0,highest
island_linkability,fixed_perm_no_pad,min_pairwise_l2,0.0,highest
island_linkability,fixed_perm_with_linear_boundary_pad,boundary_input_visible.mean_pairwise_cosine,-0.00040125320191670397,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,boundary_input_visible.max_pairwise_cosine,0.09808751441811851,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,boundary_input_visible.min_pairwise_cosine,-0.07229608193618374,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,boundary_input_visible.mean_pairwise_l2,63.21180819110758,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,boundary_input_visible.max_pairwise_l2,66.54361728806448,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,boundary_input_visible.min_pairwise_l2,60.522841843947965,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,activation_input_visible.mean_pairwise_cosine,1.0000000000000016,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,activation_input_visible.max_pairwise_cosine,1.0000000000000013,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,activation_input_visible.min_pairwise_cosine,1.000000000000001,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,activation_input_visible.mean_pairwise_l2,0.0,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,activation_input_visible.max_pairwise_l2,0.0,boundary low / activation high
island_linkability,fixed_perm_with_linear_boundary_pad,activation_input_visible.min_pairwise_l2,0.0,boundary low / activation high
island_linkability,fresh_perm_with_linear_boundary_pad,boundary_input_visible.mean_pairwise_cosine,0.001349266878315098,low on both views
island_linkability,fresh_perm_with_linear_boundary_pad,boundary_input_visible.max_pairwise_cosine,0.0774596017500818,low on both views
island_linkability,fresh_perm_with_linear_boundary_pad,boundary_input_visible.min_pairwise_cosine,-0.07215036612269864,low on both views
island_linkability,fresh_perm_with_linear_boundary_pad,boundary_input_visible.mean_pairwise_l2,63.53080457994561,low on both views
island_linkability,fresh_perm_with_linear_boundary_pad,boundary_input_visible.max_pairwise_l2,66.25041444188749,low on both views
island_linkability,fresh_perm_with_linear_boundary_pad,boundary_input_visible.min_pairwise_l2,59.99004191759734,low on both views
