section,tensor_name,mitigation_bundle,attack,metric,value,notes
model_loading,n/a,n/a,n/a,load_status,synthetic_only,
model_loading,n/a,n/a,n/a,resolved_model_id,,
model_loading,n/a,n/a,n/a,model_family,,
model_loading,n/a,n/a,n/a,fallback_used,True,
linear_inverter,boundary_input,fresh_perm_only,linear,num_train_samples,358,
linear_inverter,boundary_input,fresh_perm_only,linear,num_test_samples,154,
linear_inverter,boundary_input,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,boundary_input,fresh_perm_only,linear,mse,1.2698277235031128,
linear_inverter,boundary_input,fresh_perm_only,linear,relative_l2_error,1.119232416152954,
linear_inverter,boundary_input,fresh_perm_only,linear,cosine_similarity,0.00862202513962984,
mlp_inverter,boundary_input,fresh_perm_only,mlp,num_train_samples,358,
mlp_inverter,boundary_input,fresh_perm_only,mlp,num_test_samples,154,
mlp_inverter,boundary_input,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,boundary_input,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,boundary_input,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,boundary_input,fresh_perm_only,mlp,final_train_loss,0.256049245595932,
mlp_inverter,boundary_input,fresh_perm_only,mlp,first_train_loss,1.0143685340881348,
mlp_inverter,boundary_input,fresh_perm_only,mlp,mse,1.9688185453414917,
mlp_inverter,boundary_input,fresh_perm_only,mlp,relative_l2_error,1.3936409950256348,
mlp_inverter,boundary_input,fresh_perm_only,mlp,cosine_similarity,0.014616301283240318,
linkability,boundary_input,fresh_perm_only,linkability,visible_vs_plain_cosine,0.0009919794954399222,
linkability,boundary_input,fresh_perm_only,linkability,mean_pairwise_cosine_visible,-0.004196748265236002,
linkability,boundary_input,fresh_perm_only,linkability,mean_pairwise_l2_visible,11.344542157443462,
linkability,boundary_input,fresh_perm_only,linkability,mean_linkability_rank,277.171875,
decision,boundary_input,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,q,fresh_perm_only,linear,num_train_samples,358,
linear_inverter,q,fresh_perm_only,linear,num_test_samples,154,
linear_inverter,q,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,q,fresh_perm_only,linear,mse,0.7048598527908325,
linear_inverter,q,fresh_perm_only,linear,relative_l2_error,1.0456103086471558,
linear_inverter,q,fresh_perm_only,linear,cosine_similarity,0.04567723721265793,
mlp_inverter,q,fresh_perm_only,mlp,num_train_samples,358,
mlp_inverter,q,fresh_perm_only,mlp,num_test_samples,154,
mlp_inverter,q,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,q,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,q,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,q,fresh_perm_only,mlp,final_train_loss,0.3106842339038849,
mlp_inverter,q,fresh_perm_only,mlp,first_train_loss,0.7028807401657104,
mlp_inverter,q,fresh_perm_only,mlp,mse,0.9683505892753601,
mlp_inverter,q,fresh_perm_only,mlp,relative_l2_error,1.2255604267120361,
mlp_inverter,q,fresh_perm_only,mlp,cosine_similarity,0.033090051263570786,
linkability,q,fresh_perm_only,linkability,visible_vs_plain_cosine,-0.0021049800746825347,
linkability,q,fresh_perm_only,linkability,mean_pairwise_cosine_visible,-0.015424790782193802,
linkability,q,fresh_perm_only,linkability,mean_pairwise_l2_visible,4.5182326945272155,
linkability,q,fresh_perm_only,linkability,mean_linkability_rank,229.03125,
decision,q,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,k,fresh_perm_only,linear,num_train_samples,358,
linear_inverter,k,fresh_perm_only,linear,num_test_samples,154,
linear_inverter,k,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,k,fresh_perm_only,linear,mse,0.6796026229858398,
linear_inverter,k,fresh_perm_only,linear,relative_l2_error,1.0405572652816772,
linear_inverter,k,fresh_perm_only,linear,cosine_similarity,0.020596133545041084,
mlp_inverter,k,fresh_perm_only,mlp,num_train_samples,358,
mlp_inverter,k,fresh_perm_only,mlp,num_test_samples,154,
mlp_inverter,k,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,k,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,k,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,k,fresh_perm_only,mlp,final_train_loss,0.2747929096221924,
mlp_inverter,k,fresh_perm_only,mlp,first_train_loss,0.702593982219696,
