section,scope,tensor_name,mitigation_bundle,attack,metric,value,notes
model_loading,n/a,n/a,n/a,n/a,load_status,synthetic_only,
model_loading,n/a,n/a,n/a,n/a,resolved_model_id,,
model_loading,n/a,n/a,n/a,n/a,model_family,,
model_loading,n/a,n/a,n/a,n/a,fallback_used,True,
tokenizer_loading,n/a,n/a,n/a,n/a,tokenizer_status,not_requested,
tokenizer_loading,n/a,n/a,n/a,n/a,tokenizer_id,,
tokenizer_loading,n/a,n/a,n/a,n/a,tokenizer_error,,
prompt_summary,n/a,n/a,n/a,n/a,token_source,synthetic_token_ids,
prompt_summary,n/a,n/a,n/a,n/a,tokenizer_status,not_requested,
prompt_summary,n/a,n/a,n/a,n/a,num_prompts,8,
prompt_summary,n/a,n/a,n/a,n/a,prompt_max_length,8,
prompt_summary,n/a,n/a,n/a,n/a,vocab_size_used,64,
linear_inverter,prefill,boundary_input,fresh_perm_only,linear,num_train_samples,89,
linear_inverter,prefill,boundary_input,fresh_perm_only,linear,num_test_samples,39,
linear_inverter,prefill,boundary_input,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,prefill,boundary_input,fresh_perm_only,linear,mse,0.15067055821418762,
linear_inverter,prefill,boundary_input,fresh_perm_only,linear,relative_l2_error,1.8044949769973755,
linear_inverter,prefill,boundary_input,fresh_perm_only,linear,cosine_similarity,-0.1595999002456665,
mlp_inverter,prefill,boundary_input,fresh_perm_only,mlp,num_train_samples,89,
mlp_inverter,prefill,boundary_input,fresh_perm_only,mlp,num_test_samples,39,
mlp_inverter,prefill,boundary_input,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,prefill,boundary_input,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,prefill,boundary_input,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,prefill,boundary_input,fresh_perm_only,mlp,final_train_loss,0.0004510781145654619,
mlp_inverter,prefill,boundary_input,fresh_perm_only,mlp,first_train_loss,0.046238064765930176,
mlp_inverter,prefill,boundary_input,fresh_perm_only,mlp,mse,0.0778694748878479,
mlp_inverter,prefill,boundary_input,fresh_perm_only,mlp,relative_l2_error,1.2972543239593506,
mlp_inverter,prefill,boundary_input,fresh_perm_only,mlp,cosine_similarity,0.05083513632416725,
linkability,prefill,boundary_input,fresh_perm_only,linkability,visible_vs_plain_cosine,-0.03189217649166203,
linkability,prefill,boundary_input,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.0262663337407888,
linkability,prefill,boundary_input,fresh_perm_only,linkability,mean_pairwise_l2_visible,1.3874439776385803,
linkability,prefill,boundary_input,fresh_perm_only,linkability,mean_linkability_rank,64.34375,
decision,prefill,boundary_input,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,prefill,q,fresh_perm_only,linear,num_train_samples,358,
linear_inverter,prefill,q,fresh_perm_only,linear,num_test_samples,154,
linear_inverter,prefill,q,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,prefill,q,fresh_perm_only,linear,mse,0.32596510648727417,
linear_inverter,prefill,q,fresh_perm_only,linear,relative_l2_error,1.0398166179656982,
linear_inverter,prefill,q,fresh_perm_only,linear,cosine_similarity,0.013274242170155048,
mlp_inverter,prefill,q,fresh_perm_only,mlp,num_train_samples,358,
mlp_inverter,prefill,q,fresh_perm_only,mlp,num_test_samples,154,
mlp_inverter,prefill,q,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,prefill,q,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,prefill,q,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,prefill,q,fresh_perm_only,mlp,final_train_loss,0.16424477100372314,
mlp_inverter,prefill,q,fresh_perm_only,mlp,first_train_loss,0.36721184849739075,
mlp_inverter,prefill,q,fresh_perm_only,mlp,mse,0.39212268590927124,
mlp_inverter,prefill,q,fresh_perm_only,mlp,relative_l2_error,1.140465497970581,
mlp_inverter,prefill,q,fresh_perm_only,mlp,cosine_similarity,0.010507700964808464,
linkability,prefill,q,fresh_perm_only,linkability,visible_vs_plain_cosine,0.011108505050178083,
linkability,prefill,q,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.013475925920293815,
linkability,prefill,q,fresh_perm_only,linkability,mean_pairwise_l2_visible,2.1443401561327664,
linkability,prefill,q,fresh_perm_only,linkability,mean_linkability_rank,229.0,
decision,prefill,q,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,prefill,k,fresh_perm_only,linear,num_train_samples,179,
linear_inverter,prefill,k,fresh_perm_only,linear,num_test_samples,77,
linear_inverter,prefill,k,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,prefill,k,fresh_perm_only,linear,mse,0.27038127183914185,
linear_inverter,prefill,k,fresh_perm_only,linear,relative_l2_error,1.0253740549087524,
linear_inverter,prefill,k,fresh_perm_only,linear,cosine_similarity,0.1061435118317604,
mlp_inverter,prefill,k,fresh_perm_only,mlp,num_train_samples,179,
mlp_inverter,prefill,k,fresh_perm_only,mlp,num_test_samples,77,
mlp_inverter,prefill,k,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,prefill,k,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,prefill,k,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,prefill,k,fresh_perm_only,mlp,final_train_loss,0.0909932553768158,
mlp_inverter,prefill,k,fresh_perm_only,mlp,first_train_loss,0.32334500551223755,
mlp_inverter,prefill,k,fresh_perm_only,mlp,mse,0.36821451783180237,
mlp_inverter,prefill,k,fresh_perm_only,mlp,relative_l2_error,1.196587324142456,
mlp_inverter,prefill,k,fresh_perm_only,mlp,cosine_similarity,0.09124618768692017,
linkability,prefill,k,fresh_perm_only,linkability,visible_vs_plain_cosine,-0.037929304095076014,
linkability,prefill,k,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.008150633557759109,
linkability,prefill,k,fresh_perm_only,linkability,mean_pairwise_l2_visible,2.075872454708607,
linkability,prefill,k,fresh_perm_only,linkability,mean_linkability_rank,141.0625,
decision,prefill,k,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,prefill,v,fresh_perm_only,linear,num_train_samples,179,
linear_inverter,prefill,v,fresh_perm_only,linear,num_test_samples,77,
linear_inverter,prefill,v,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,prefill,v,fresh_perm_only,linear,mse,0.35790008306503296,
linear_inverter,prefill,v,fresh_perm_only,linear,relative_l2_error,1.0659469366073608,
linear_inverter,prefill,v,fresh_perm_only,linear,cosine_similarity,0.027756057679653168,
mlp_inverter,prefill,v,fresh_perm_only,mlp,num_train_samples,179,
mlp_inverter,prefill,v,fresh_perm_only,mlp,num_test_samples,77,
mlp_inverter,prefill,v,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,prefill,v,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,prefill,v,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,prefill,v,fresh_perm_only,mlp,final_train_loss,0.0859377533197403,
mlp_inverter,prefill,v,fresh_perm_only,mlp,first_train_loss,0.46632304787635803,
mlp_inverter,prefill,v,fresh_perm_only,mlp,mse,0.4228447377681732,
mlp_inverter,prefill,v,fresh_perm_only,mlp,relative_l2_error,1.1586312055587769,
mlp_inverter,prefill,v,fresh_perm_only,mlp,cosine_similarity,0.18138517439365387,
linkability,prefill,v,fresh_perm_only,linkability,visible_vs_plain_cosine,0.0009477393311092008,
linkability,prefill,v,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.012708341903838223,
linkability,prefill,v,fresh_perm_only,linkability,mean_pairwise_l2_visible,2.2289848419658154,
linkability,prefill,v,fresh_perm_only,linkability,mean_linkability_rank,123.0625,
decision,prefill,v,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,prefill,gate,fresh_perm_only,linear,num_train_samples,89,
linear_inverter,prefill,gate,fresh_perm_only,linear,num_test_samples,39,
linear_inverter,prefill,gate,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,prefill,gate,fresh_perm_only,linear,mse,1.3648735284805298,
linear_inverter,prefill,gate,fresh_perm_only,linear,relative_l2_error,2.0753910541534424,
linear_inverter,prefill,gate,fresh_perm_only,linear,cosine_similarity,-0.012070723809301853,
mlp_inverter,prefill,gate,fresh_perm_only,mlp,num_train_samples,89,
mlp_inverter,prefill,gate,fresh_perm_only,mlp,num_test_samples,39,
mlp_inverter,prefill,gate,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,prefill,gate,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,prefill,gate,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,prefill,gate,fresh_perm_only,mlp,final_train_loss,0.0004639537073671818,
mlp_inverter,prefill,gate,fresh_perm_only,mlp,first_train_loss,0.37299156188964844,
mlp_inverter,prefill,gate,fresh_perm_only,mlp,mse,0.4631228744983673,
mlp_inverter,prefill,gate,fresh_perm_only,mlp,relative_l2_error,1.208931803703308,
mlp_inverter,prefill,gate,fresh_perm_only,mlp,cosine_similarity,0.08344464004039764,
linkability,prefill,gate,fresh_perm_only,linkability,visible_vs_plain_cosine,0.04079865085431489,
linkability,prefill,gate,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.03345331136597126,
linkability,prefill,gate,fresh_perm_only,linkability,mean_pairwise_l2_visible,6.368632762742599,
linkability,prefill,gate,fresh_perm_only,linkability,mean_linkability_rank,45.90625,
permutation_recovery,prefill,gate,fresh_perm_only,signature_matching,top1_recovery_rate,0.015625,
permutation_recovery,prefill,gate,fresh_perm_only,signature_matching,top5_recovery_rate,0.125,
permutation_recovery,prefill,gate,fresh_perm_only,signature_matching,mean_correct_rank,29.578125,
permutation_recovery,prefill,gate,fresh_perm_only,signature_matching,mean_signature_error,0.11519789946671423,
permutation_recovery,prefill,gate,fresh_perm_only,soft_assignment,top1_recovery_rate,0.03125,
permutation_recovery,prefill,gate,fresh_perm_only,soft_assignment,top5_recovery_rate,0.0625,
permutation_recovery,prefill,gate,fresh_perm_only,soft_assignment,mean_correct_rank,30.78125,
permutation_recovery,prefill,gate,fresh_perm_only,soft_assignment,iterations,50,
permutation_recovery,prefill,gate,fresh_perm_only,soft_assignment,temperature,0.05,
decision,prefill,gate,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,prefill,up,fresh_perm_only,linear,num_train_samples,89,
linear_inverter,prefill,up,fresh_perm_only,linear,num_test_samples,39,
linear_inverter,prefill,up,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,prefill,up,fresh_perm_only,linear,mse,1.1985763311386108,
linear_inverter,prefill,up,fresh_perm_only,linear,relative_l2_error,1.876255750656128,
linear_inverter,prefill,up,fresh_perm_only,linear,cosine_similarity,0.12534099817276,
mlp_inverter,prefill,up,fresh_perm_only,mlp,num_train_samples,89,
mlp_inverter,prefill,up,fresh_perm_only,mlp,num_test_samples,39,
mlp_inverter,prefill,up,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,prefill,up,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,prefill,up,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,prefill,up,fresh_perm_only,mlp,final_train_loss,0.00045090593630447984,
mlp_inverter,prefill,up,fresh_perm_only,mlp,first_train_loss,0.34279167652130127,
mlp_inverter,prefill,up,fresh_perm_only,mlp,mse,0.4530846178531647,
mlp_inverter,prefill,up,fresh_perm_only,mlp,relative_l2_error,1.1535829305648804,
mlp_inverter,prefill,up,fresh_perm_only,mlp,cosine_similarity,0.15778283774852753,
linkability,prefill,up,fresh_perm_only,linkability,visible_vs_plain_cosine,0.03118259411195677,
linkability,prefill,up,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.04706431014722476,
linkability,prefill,up,fresh_perm_only,linkability,mean_pairwise_l2_visible,6.293158959234033,
linkability,prefill,up,fresh_perm_only,linkability,mean_linkability_rank,62.140625,
permutation_recovery,prefill,up,fresh_perm_only,signature_matching,top1_recovery_rate,0.015625,
permutation_recovery,prefill,up,fresh_perm_only,signature_matching,top5_recovery_rate,0.046875,
permutation_recovery,prefill,up,fresh_perm_only,signature_matching,mean_correct_rank,32.03125,
permutation_recovery,prefill,up,fresh_perm_only,signature_matching,mean_signature_error,0.12828160109476697,
permutation_recovery,prefill,up,fresh_perm_only,soft_assignment,top1_recovery_rate,0.015625,
permutation_recovery,prefill,up,fresh_perm_only,soft_assignment,top5_recovery_rate,0.09375,
permutation_recovery,prefill,up,fresh_perm_only,soft_assignment,mean_correct_rank,31.765625,
permutation_recovery,prefill,up,fresh_perm_only,soft_assignment,iterations,50,
permutation_recovery,prefill,up,fresh_perm_only,soft_assignment,temperature,0.05,
decision,prefill,up,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,prefill,swiglu_intermediate,fresh_perm_only,linear,num_train_samples,89,
linear_inverter,prefill,swiglu_intermediate,fresh_perm_only,linear,num_test_samples,39,
