section,attack,scope,metric,value,notes
model_loading,n/a,n/a,load_status,synthetic_only,
model_loading,n/a,n/a,resolved_model_id,,
model_loading,n/a,n/a,model_family,,
model_loading,n/a,n/a,fallback_used,True,
tokenizer_loading,n/a,n/a,tokenizer_status,not_requested,
tokenizer_loading,n/a,n/a,tokenizer_id,,
tokenizer_loading,n/a,n/a,tokenizer_error,,
blackbox,prompt_linkability,generation,same_prompt_similarity,0.9999999999999942,
blackbox,prompt_linkability,generation,different_prompt_similarity,0.6512318011174543,
blackbox,prompt_linkability,generation,linkability_auc_proxy,1.0,
blackbox,prompt_linkability,generation,nearest_prompt_retrieval_top1,1.0,
blackbox,prompt_linkability,generation,nearest_prompt_retrieval_random_chance,0.06666666666666667,
blackbox,prompt_class_inference,generation,class_accuracy,1.0,
blackbox,prompt_class_inference,generation,random_chance_baseline,0.26666666666666666,
blackbox,prompt_class_inference,generation,num_classes,4,
blackbox,prompt_class_inference,generation,classes,"['general_knowledge', 'generation_template', 'machine_learning', 'security']",
blackbox,mode_distinguishability,generation,mode_classification_accuracy,0.0,
blackbox,mode_distinguishability,generation,random_chance_baseline,0.22580645161290322,
blackbox,mode_distinguishability,generation,modes_observed,"['compatible_islands|fresh_perm_only|use_pad=False', 'compatible_islands|fresh_perm_only|use_pad=True', 'compatible_islands|fresh_perm_plus_sandwich_plus_pad|use_pad=False', 'compatible_islands|fresh_perm_plus_sandwich_plus_pad|use_pad=True']",
timing,prompt_length_leakage,prefill_decode,length_bucket_accuracy,0.40234375,
timing,prompt_length_leakage,prefill_decode,random_chance_baseline,0.24902216427640156,
timing,prompt_length_leakage,prefill_decode,correlation_latency_length,0.10118062820864475,
timing,prompt_length_leakage,prefill_decode,risk_level,medium,
timing,decode_step_leakage,prefill_decode,step_accuracy,0.7486979166666666,
timing,decode_step_leakage,prefill_decode,random_chance_baseline,0.24902216427640156,
timing,decode_step_leakage,prefill_decode,correlation_latency_step,0.7899371356774512,
timing,decode_step_leakage,prefill_decode,risk_level,high,
timing,method_distinguishability,prefill_decode,method_accuracy,0.6015625,
timing,method_distinguishability,prefill_decode,random_chance_baseline,0.3324641460234681,
timing,method_distinguishability,prefill_decode,risk_level,medium,
timing,mitigation_distinguishability,prefill_decode,mitigation_accuracy,0.5078125,
timing,mitigation_distinguishability,prefill_decode,random_chance_baseline,0.49902152641878667,
timing,mitigation_distinguishability,prefill_decode,risk_level,low,
