optimizer,step,group,metric,n,finite_n,nan_or_inf_fraction,max,median,p95,worst_layer
sgd,1,o_down,O1A_A_update_relerr,144,144,0.0,8.394491283093573e-18,5.7265490187689125e-18,7.99757482092326e-18,3
sgd,1,o_down,O1C_A_update_relerr,144,144,0.0,8.394491283093573e-18,5.7265490187689125e-18,7.99757482092326e-18,3
sgd,1,o_down,O1A_B_update_relerr,144,144,0.0,1.1332471053156676e-17,4.721421486325018e-18,9.771998807388687e-18,9
sgd,1,o_down,O1C_B_update_relerr,144,144,0.0,1.1332471053156676e-17,4.721421486325018e-18,9.771998807388687e-18,9
sgd,1,o_down,O1A_dW_cos,144,144,0.0,1.0000000000001021,1.0000000000000009,1.0000000000000406,22
sgd,1,o_down,O1C_dW_cos,144,144,0.0,1.0000000000001021,1.0000000000000009,1.0000000000000406,22
sgd,1,o_down,O1A_optstate_relerr,144,144,0.0,4.1993109197056916e-15,1.8765712164286238e-15,3.5434606050477782e-15,6
sgd,1,o_down,O1C_optstate_relerr,144,144,0.0,4.1993109197056916e-15,1.8765712164286238e-15,3.5434606050477782e-15,6
sgd,1,o_down,loss_absdiff_O1C,144,144,0.0,1.3322676295501878e-15,0.0,8.881784197001252e-16,22
sgd,1,qkv,O1A_A_update_relerr,216,216,0.0,0.11293421304617976,0.0001784571808706696,0.0006017846463308064,0
sgd,1,qkv,O1C_A_update_relerr,216,216,0.0,1.034287255415416e-16,9.369351713704658e-17,9.779131931728624e-17,0
sgd,1,qkv,O1A_B_update_relerr,216,216,0.0,1.153690279183542e-16,1.0386724272261976e-16,1.0861470706964527e-16,4
sgd,1,qkv,O1C_B_update_relerr,216,216,0.0,1.153690279183542e-16,1.0386724272261976e-16,1.0861470706964527e-16,4
sgd,1,qkv,O1A_dW_cos,216,216,0.0,0.9999999985518357,0.9999999798843393,0.9999999973587481,17
sgd,1,qkv,O1C_dW_cos,216,216,0.0,1.000000000000036,0.9999999999999996,1.0000000000000129,12
sgd,1,qkv,O1A_optstate_relerr,216,216,0.0,279.7602542183126,1.1060307144057107,2.889562422108681,0
sgd,1,qkv,O1C_optstate_relerr,216,216,0.0,2.377863097616403e-15,1.0742911206146293e-15,2.079348314516998e-15,15
sgd,1,qkv,loss_absdiff_O1C,216,216,0.0,2.6645352591003757e-15,0.0,4.440892098500626e-16,0
sgd,1,gate_up,O1A_A_update_relerr,144,144,0.0,0.29673192076818816,0.00012222486227619688,0.1845753958121984,9
sgd,1,gate_up,O1C_A_update_relerr,144,144,0.0,9.854539537671733e-17,9.371265584406897e-17,9.616218953211885e-17,15
sgd,1,gate_up,O1A_B_update_relerr,144,144,0.0,3.235993709008885e-18,1.0144004728160958e-18,1.975226126985547e-18,16
sgd,1,gate_up,O1C_B_update_relerr,144,144,0.0,3.235993709008885e-18,1.0144004728160958e-18,1.975226126985547e-18,16
sgd,1,gate_up,O1A_dW_cos,144,144,0.0,0.9999999991111695,0.9999999874343021,0.9999999986305339,16
sgd,1,gate_up,O1C_dW_cos,144,144,0.0,1.0000000000000728,0.9999999999999994,1.000000000000059,19
sgd,1,gate_up,O1A_optstate_relerr,144,144,0.0,3842.216266625737,1.3617736245835352,2246.9151556272636,22
sgd,1,gate_up,O1C_optstate_relerr,144,144,0.0,4.103015892574041e-15,2.6370501100390846e-15,3.340612526653139e-15,10
sgd,1,gate_up,loss_absdiff_O1C,144,144,0.0,6.661338147750939e-16,0.0,4.440892098500626e-16,6
sgd,10,o_down,O1A_A_update_relerr,144,144,0.0,2.4533944038957207e-17,1.6783413845116306e-17,2.3203195486517034e-17,22
sgd,10,o_down,O1C_A_update_relerr,144,144,0.0,2.4533944038957207e-17,1.6783413845116306e-17,2.3203195486517034e-17,22
sgd,10,o_down,O1A_B_update_relerr,144,144,0.0,2.9425301552194943e-17,1.6876533403559498e-17,2.775424541978645e-17,22
sgd,10,o_down,O1C_B_update_relerr,144,144,0.0,2.9425301552194943e-17,1.6876533403559498e-17,2.775424541978645e-17,22
sgd,10,o_down,O1A_dW_cos,144,144,0.0,1.0000000000000664,1.0000000000000009,1.0000000000000302,5
sgd,10,o_down,O1C_dW_cos,144,144,0.0,1.0000000000000664,1.0000000000000009,1.0000000000000302,5
sgd,10,o_down,O1A_optstate_relerr,144,144,0.0,4.369913206917921e-15,1.880453877128499e-15,3.5278522868667533e-15,5
sgd,10,o_down,O1C_optstate_relerr,144,144,0.0,4.369913206917921e-15,1.880453877128499e-15,3.5278522868667533e-15,5
sgd,10,o_down,loss_absdiff_O1C,144,144,0.0,1.7763568394002505e-15,0.0,4.440892098500626e-16,22
sgd,10,qkv,O1A_A_update_relerr,216,216,0.0,0.38319440321027093,0.00177368246898435,0.005905594494200676,0
sgd,10,qkv,O1C_A_update_relerr,216,216,0.0,2.4288051943707603e-16,2.1874982344152416e-16,2.2782857202312945e-16,0
sgd,10,qkv,O1A_B_update_relerr,216,216,0.0,0.05621422859368341,3.192515979915278e-05,0.0003473573822268091,0
sgd,10,qkv,O1C_B_update_relerr,216,216,0.0,2.4787843496087125e-16,2.239731592555192e-16,2.3320360457336515e-16,22
sgd,10,qkv,O1A_dW_cos,216,216,0.0,0.9999998569964529,0.9999980620999089,0.9999997396603117,17
sgd,10,qkv,O1C_dW_cos,216,216,0.0,1.0000000000000187,1.0,1.0000000000000118,19
sgd,10,qkv,O1A_optstate_relerr,216,216,0.0,47.47459569802561,1.0953922382704238,2.805888786714505,0
