run,step,logical_invocations,logits_to_tdx_B,dlogits_from_tdx_B,corr_grads_to_tdx_B,corrected_from_tdx_B,total_gpu_to_tdx_B,total_tdx_to_gpu_B,correction_payload_frac
L10_fp32_s1234_10step.json,0,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
L10_fp32_s1234_10step.json,1,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
L10_fp32_s1234_10step.json,2,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
L10_fp32_s1234_10step.json,3,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
L10_fp32_s1234_10step.json,4,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
L10_fp32_s1234_10step.json,5,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
L10_fp32_s1234_10step.json,6,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
L10_fp32_s1234_10step.json,7,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
L10_fp32_s1234_10step.json,8,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
L10_fp32_s1234_10step.json,9,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
L10_fp32_s1234_1step.json,0,3,25526860,25526846,3476733,3476481,29003593,29003327,0.1199
