run,step,tdx_loss_sec,tdx_correction_sec,tdx_correction_compute_sec,step_wall_sec,in_enclave_compute_frac
L10_fp32_s1234_10step.json,0,48.557,15.447,0.048,181.86,0.000264
L10_fp32_s1234_10step.json,1,47.158,16.438,0.0467,193.43,0.000242
L10_fp32_s1234_10step.json,2,47.23,16.25,0.0473,179.97,0.000263
L10_fp32_s1234_10step.json,3,46.766,15.685,0.0467,180.4,0.000259
L10_fp32_s1234_10step.json,4,46.523,16.664,0.0471,181.75,0.000259
L10_fp32_s1234_10step.json,5,46.415,16.032,0.0468,179.32,0.000261
L10_fp32_s1234_10step.json,6,46.838,15.782,0.0462,182.85,0.000253
L10_fp32_s1234_10step.json,7,46.14,18.013,0.048,181.73,0.000264
L10_fp32_s1234_10step.json,8,46.845,16.382,0.0471,182.26,0.000259
L10_fp32_s1234_10step.json,9,47.636,16.202,0.0467,181.36,0.000258
L10_fp32_s1234_1step.json,0,46.871,19.37,0.0484,183.77,0.000263
