step,proj,gradA_relation_err(gAp==gAt@Tin^-1),O1A_A_update_relerr_vs_plaintextfold,O1A_B_update_relerr_vs_plaintextfold,O1B_A_update_relerr_vs_plaintextfold,O1A_recoveredPlaintextA_err,O1A_dW_relerr_vs_plaintext,O1A_dW_cosine_vs_plaintext,O1B_dW_relerr_vs_plaintext,O1B_dW_cosine_vs_plaintext,loss_plaintext,loss_O1A_masked,loss_match
0,q_proj,1.7661904530491436e-15,0.03599410885873885,1.0580455501938872e-16,9.421403207832686e-17,0.09790213120588062,0.04431127980036195,0.9990188688042556,2.0657482534295466e-16,1.0000000000000284,3.976629901349478,3.9766299013494795,1.3322676295501878e-15
1,q_proj,0.9689682517090462,0.05511265874718071,0.00010267279025897295,1.1777872976450736e-16,0.1498397396305574,0.062020317184056664,0.9980798886563734,2.234262467178761e-16,1.0000000000000195,3.9765392780700535,3.9531092192703468,0.02343005879970672
2,q_proj,1.7117638079696318,0.06872179910868724,0.0002542356909757536,1.3691643212077897e-16,0.18688023917431534,0.0734022276552888,0.9973129812725164,2.4526829860627e-16,0.9999999999999978,3.9764488187290477,3.944233909908218,0.032214908820829447
3,q_proj,2.546591141735368,0.0788959518729272,0.00044005561155377714,1.4838170612431781e-16,0.21457771316358557,0.08172485685508488,0.996671860775348,2.6226641217892166e-16,1.0000000000000147,3.976358522161343,3.9394883281746114,0.036870193986731525
4,q_proj,3.5971377313483615,0.08658886401486346,0.0006513671308334585,1.5658961064323456e-16,0.23551129678296542,0.08801514634158124,0.9961425310856371,2.762645854324736e-16,1.000000000000013,3.9762683872056885,3.9367673150276117,0.03950107217807686
5,q_proj,4.941021171070033,0.09243829461732228,0.0008818403258501556,1.6238853486809156e-16,0.25142102511142367,0.09281957747888817,0.9957124077904609,2.9190385839787075e-16,0.9999999999999881,3.976178412704671,3.9351302624355573,0.04104815026911357
6,q_proj,6.650825797800605,0.0969100311532531,0.0011267943120256724,1.847956279351158e-16,0.26358093338732763,0.0965104140950705,0.9953668551694171,3.0438387216235133e-16,0.9999999999999964,3.9760885975046967,3.934087493337631,0.042001104167065595
7,q_proj,8.801407188016714,0.10035070077649266,0.001382763250977813,1.8898683487185883e-16,0.2729388296220936,0.09936243171667178,0.9950908720503799,3.220048704936861e-16,0.9999999999999911,3.9759989404559724,3.9333739800904457,0.042624960365526654
8,q_proj,11.467393640147307,0.10301919157902412,0.0016471832616333903,1.9633901024946968e-16,0.28020166420281717,0.10158259403474564,0.9948706443818996,3.3043540326759395e-16,0.999999999999996,3.9759094404124715,3.932844016980355,0.04306542343211639
9,q_proj,14.71476755690052,0.10510898459522491,0.0019181583637451762,2.1400688981295917e-16,0.28589689388403583,0.10332723796756627,0.9946942904535699,3.4803918183846063e-16,0.9999999999999932,3.9758200962319306,3.932416680853609,0.0434034153783216
0,k_proj,1.6073419721819526e-15,0.09869329561026186,1.0926584956287904e-16,9.752525409671146e-17,0.2677813483677031,0.12343521582602492,0.9924570660547305,2.0716952824958656e-16,0.9999999999999981,5.7798133038639605,5.7798133038639605,0.0
1,k_proj,0.9738745580060644,0.15083551363929715,0.002299026131076774,1.1996664326262018e-16,0.4085204489714371,0.16968679820068053,0.985882631963173,2.263092563939026e-16,0.9999999999999973,5.77906146737237,5.603483656324255,0.17557781104811454
2,k_proj,1.615246672831139,0.18960854111559391,0.005710566079601018,1.2958177397719838e-16,0.5132119775422861,0.20086934648700785,0.9803866951403362,2.4291498724942285e-16,1.0000000000000004,5.778311221753396,5.532588805289545,0.24572241646385073
3,k_proj,2.238639033987498,0.22043033864032055,0.009940782458682344,1.4669587000143568e-16,0.5964957246015755,0.22561004866356682,0.9754541890757121,2.6461072463324436e-16,1.0000000000000013,5.777562496690931,5.487333522247518,0.290228974443413
4,k_proj,2.889731627995978,0.24571683820603837,0.014829394671935421,1.6328977232697426e-16,0.6648896733162845,0.24618200571802945,0.9709875523167077,2.723379307990638e-16,1.0000000000000102,5.77681522213454,5.453247910641991,0.3235673114925488
5,k_proj,3.5308091180254495,0.2671279379566411,0.02026648398279236,1.6984780546474398e-16,0.7228744045240157,0.26386446258248425,0.9668951508933461,2.861757374521945e-16,1.0000000000000053,5.776069328290979,5.423931021007777,0.3521383072832016
6,k_proj,4.1064359400911865,0.2858761606303434,0.02617519172944953,1.847503571377044e-16,0.773719054633366,0.27959005974604134,0.9630663770682781,2.9495793422708433e-16,1.0000000000000036,5.775324745615791,5.3961332737639935,0.37919147185179725
7,k_proj,4.569411971658521,0.3028489167872731,0.03250263416452991,1.8986023811272495e-16,0.8198122254277205,0.29405931861813184,0.9593908829913453,3.105606112567728e-16,0.9999999999999991,5.774581404804958,5.368112317716467,0.4064690870884906
8,k_proj,4.895271348423063,0.3186951181077641,0.039213268411073435,2.0205764885481203e-16,0.8628976157109293,0.3077955215481261,0.9557697467497132,3.208961451229319e-16,1.0000000000000004,5.7738392367865785,5.338873871142371,0.4349653656442074
9,k_proj,5.084997320607897,0.33389010389707463,0.046283912260513,2.1539701277687584e-16,0.9042504241705216,0.3211878890321825,0.9521185486010283,3.420746257876277e-16,1.000000000000006,5.773098172712653,5.3078009473660535,0.4652972253465997
0,v_proj,6.510045674973389e-16,0.04509724615888167,7.103052249103716e-18,9.46043079840947e-17,0.12005236331148868,0.05251108793254943,0.9986245755785519,1.782356003890144e-16,0.9999999999999954,1.1245026896985857,1.1245026896985857,0.0
1,v_proj,0.7554692050557232,0.07226290523424163,0.0004217967153988532,1.1952270755419112e-16,0.19190448874183344,0.07679880623573539,0.9970648436253806,1.8798868148885795e-16,0.9999999999999993,1.1243483981532971,1.08570146140531,0.03864693674798714
2,v_proj,1.3569606703344548,0.09219915333357505,0.001076196667391835,1.393208060425435e-16,0.24470373699289763,0.09325642513247513,0.9956809565184076,2.0315320063824517e-16,1.0000000000000009,1.1241942846049409,1.0685052679761826,0.05568901662875825
3,v_proj,2.026103867959559,0.10740172332756676,0.001897016898121351,1.5663709169649352e-16,0.2850501639593082,0.1056110490521355,0.9944708774873026,2.1488957537710443e-16,0.9999999999999931,1.1240403466399063,1.0587464028850768,0.06529394375482944
4,v_proj,2.8412151247192714,0.11914043440757024,0.0028443117350170984,1.7014682192612535e-16,0.3162657703697042,0.11511077720398163,0.9934418043918898,2.2910275891087286e-16,1.000000000000007,1.1238865818521744,1.0528178716862635,0.07106871016591088
5,v_proj,3.8340668520182217,0.12829394469906955,0.0038894297766704127,1.7947814920220337e-16,0.3406538765022827,0.12249488330399762,0.9925833284872221,2.342603368576912e-16,1.0000000000000018,1.1237329878432651,1.0489910123932888,0.0747419754499763
6,v_proj,5.023682479200886,0.13550765735053752,0.005011008189370815,1.8026769256122206e-16,0.3599110365368925,0.1282961076301888,0.991873265792833,2.371591761306041e-16,0.9999999999999987,1.123579562222186,1.0463429993147886,0.07723656290739744
7,v_proj,6.42184332717349,0.14126048413324024,0.006192955517181253,1.8945835175328093e-16,0.37529879235481617,0.13291214422766895,0.9912860475912821,2.4153707093685985e-16,1.0000000000000018,1.1234263026053768,1.0443659677202992,0.07906033488507758
8,v_proj,8.031925094486564,0.14590903318751175,0.007423092082436969,2.0521534248036864e-16,0.38775807461965195,0.13664059404283496,0.9907974462908599,2.5350199902573924e-16,1.0000000000000013,1.1232732066166602,1.0427748385541722,0.080498368062488
9,v_proj,9.846262321958033,0.14971977079439844,0.008692162848927584,2.1920007702664522e-16,0.39799297647032045,0.13970392464115367,0.9903864827484371,2.677110584425615e-16,1.0000000000000075,1.123120271887189,1.0414068219779713,0.0817134499092178
0,o_proj,1.1487664801181696e-15,5.083986684665863e-18,3.742895540555983e-18,5.083986684665863e-18,5.083986684665863e-18,9.18111443211825e-18,1.0000000000000027,9.18111443211825e-18,1.0000000000000027,1.2178553208689533,1.2178553208689533,0.0
