control_validated,functional_weight_recovered,gamma_folded,has_reference,perm_recovery_accuracy,residual_side_orthogonality_err,singular_value_gap_vs_plaintext,spectrum_leaked,status,threat,weight,weight_reconstruction_cosine
True,False,False,False,,,7.993605777301127e-15,True,measured,T0,model.layers.0.mlp.down_proj_tilde,0.00068883220119211
True,True,False,True,,1.687538997430238e-14,,,measured,T3,model.layers.0.mlp.down_proj_tilde,1.0000000000000195
True,False,False,False,,,5.773159728050814e-15,True,measured,T0,model.layers.0.self_attn.o_proj_tilde,-0.0011154300048988514
True,True,False,True,,5077438.474298628,,,measured,T3,model.layers.0.self_attn.o_proj_tilde,1.0000000000000013
True,False,True,False,,,30.037015579463244,False,measured,T0,model.layers.0.self_attn.q_proj_tilde,-0.004074026028636339
True,True,True,True,,15127899.066196814,,,measured,T3,model.layers.0.self_attn.q_proj_tilde,0.9999999999999956
True,False,True,False,,,1.2568117244030157,False,measured,T0,model.layers.0.mlp.gate_proj_tilde,-0.0003001882052018499
True,True,True,True,,0.9673527380692696,,,measured,T3,model.layers.0.mlp.gate_proj_tilde,1.000000000000018
True,False,False,False,,,1.021405182655144e-14,True,measured,T0,model.layers.12.mlp.down_proj_tilde,0.0002698747256488442
True,True,False,True,,1.3988810110276972e-14,,,measured,T3,model.layers.12.mlp.down_proj_tilde,1.0000000000000238
True,False,False,False,,,9.103828801926284e-15,True,measured,T0,model.layers.12.self_attn.o_proj_tilde,0.0016139612978679782
True,True,False,True,,730101.3698660937,,,measured,T3,model.layers.12.self_attn.o_proj_tilde,1.0000000000000098
True,False,True,False,,,3.015552098740904,False,measured,T0,model.layers.12.self_attn.q_proj_tilde,0.0010269888188800484
True,True,True,True,,15687109.345851846,,,measured,T3,model.layers.12.self_attn.q_proj_tilde,1.0000000000000053
True,False,True,False,,,2.6369875258390176,False,measured,T0,model.layers.12.mlp.gate_proj_tilde,0.0004508141575419325
True,True,True,True,,1.6438471175089076,,,measured,T3,model.layers.12.mlp.gate_proj_tilde,1.0000000000000187
True,False,False,False,,,1.0436096431476471e-14,True,measured,T0,model.layers.23.mlp.down_proj_tilde,-0.00017461940414255063
True,True,False,True,,1.4654943925052066e-14,,,measured,T3,model.layers.23.mlp.down_proj_tilde,1.000000000000022
True,False,False,False,,,7.105427357601002e-15,True,measured,T0,model.layers.23.self_attn.o_proj_tilde,0.00047612217843548616
True,True,False,True,,99881.85031652976,,,measured,T3,model.layers.23.self_attn.o_proj_tilde,0.9999999999999986
True,False,True,False,,,8.329889594776471,False,measured,T0,model.layers.23.self_attn.q_proj_tilde,-7.152104641074478e-05
True,True,True,True,,2522029.6868674723,,,measured,T3,model.layers.23.self_attn.q_proj_tilde,1.0000000000000469
True,False,True,False,,,13.435334112745446,False,measured,T0,model.layers.23.mlp.gate_proj_tilde,0.0010400198285595377
True,True,True,True,,7.159550107228668,,,measured,T3,model.layers.23.mlp.gate_proj_tilde,1.0000000000000213
