check,error,passed,kind
rmsnorm_core_equivariance,0.0,True,real_activation_fp64
rmsnorm_core_backward_equivariance,0.0,True,real_activation_fp64
swiglu_shared_perm,0.0,True,real_activation_fp64
swiglu_independent_perm_NEG,19.845363534357283,True,real_activation_neg
swiglu_dense_orth_NEG,2.697952377968484,True,real_activation_neg
rope_paired_qk_score_preserve,1.5916157281026244e-12,True,real_activation_fp64
rope_dense_commute_NEG,61.56702370409062,True,real_activation_neg
lora_fold_forward[q_proj],1.4210854715202004e-14,True,real_activation_fp64
lora_fold_gradA[q_proj],9.020562075079397e-17,True,real_activation_fp64
lora_fold_gradB[q_proj],8.326672684688674e-17,True,real_activation_fp64
lora_fold_sgd[q_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_forward[k_proj],7.105427357601002e-15,True,real_activation_fp64
lora_fold_gradA[k_proj],8.326672684688674e-17,True,real_activation_fp64
lora_fold_gradB[k_proj],1.3530843112619095e-16,True,real_activation_fp64
lora_fold_sgd[k_proj],4.85722573273506e-17,True,real_activation_fp64
lora_fold_forward[v_proj],6.661338147750939e-16,True,real_activation_fp64
lora_fold_gradA[v_proj],6.5052130349130266e-18,True,real_activation_fp64
lora_fold_gradB[v_proj],1.8214596497756474e-17,True,real_activation_fp64
lora_fold_sgd[v_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[o_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[o_proj],7.589415207398531e-18,True,real_activation_fp64
lora_fold_gradB[o_proj],3.903127820947816e-18,True,real_activation_fp64
lora_fold_sgd[o_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[gate_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[gate_proj],9.020562075079397e-17,True,real_activation_fp64
lora_fold_gradB[gate_proj],1.0570971181733668e-18,True,real_activation_fp64
lora_fold_sgd[gate_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[up_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[up_proj],1.5612511283791264e-17,True,real_activation_fp64
lora_fold_gradB[up_proj],9.75781955236954e-19,True,real_activation_fp64
lora_fold_sgd[up_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_forward[down_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[down_proj],1.1709383462843448e-17,True,real_activation_fp64
lora_fold_gradB[down_proj],9.324138683375338e-18,True,real_activation_fp64
lora_fold_sgd[down_proj],7.632783294297951e-17,True,real_activation_fp64
rmsnorm_core_equivariance,7.105427357601002e-15,True,real_activation_fp64
rmsnorm_core_backward_equivariance,5.329070518200751e-15,True,real_activation_fp64
swiglu_shared_perm,0.0,True,real_activation_fp64
swiglu_independent_perm_NEG,18.65367188498728,True,real_activation_neg
swiglu_dense_orth_NEG,3.8535957929544837,True,real_activation_neg
rope_paired_qk_score_preserve,1.4566126083082054e-13,True,real_activation_fp64
rope_dense_commute_NEG,9.506858187000525,True,real_activation_neg
lora_fold_forward[q_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[q_proj],1.0408340855860843e-16,True,real_activation_fp64
lora_fold_gradB[q_proj],1.3010426069826053e-17,True,real_activation_fp64
lora_fold_sgd[q_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_forward[k_proj],1.7763568394002505e-15,True,real_activation_fp64
