layer,operator_path,residual_domain_fingerprint,lora_A_grad_present,lora_B_grad_present,base_weight_requires_grad,finite
0,masked_kernels,orth_signed_perm_seed100,True,True,False,True
1,masked_kernels,orth_signed_perm_seed101,True,True,False,True
2,masked_kernels,orth_signed_perm_seed102,True,True,False,True
3,masked_kernels,orth_signed_perm_seed103,True,True,False,True
4,masked_kernels,orth_signed_perm_seed104,True,True,False,True
5,masked_kernels,orth_signed_perm_seed105,True,True,False,True
6,masked_kernels,orth_signed_perm_seed106,True,True,False,True
7,masked_kernels,orth_signed_perm_seed107,True,True,False,True
8,masked_kernels,orth_signed_perm_seed108,True,True,False,True
9,masked_kernels,orth_signed_perm_seed109,True,True,False,True
10,masked_kernels,orth_signed_perm_seed110,True,True,False,True
11,masked_kernels,orth_signed_perm_seed111,True,True,False,True
12,masked_kernels,orth_signed_perm_seed112,True,True,False,True
13,masked_kernels,orth_signed_perm_seed113,True,True,False,True
14,masked_kernels,orth_signed_perm_seed114,True,True,False,True
15,masked_kernels,orth_signed_perm_seed115,True,True,False,True
16,masked_kernels,orth_signed_perm_seed116,True,True,False,True
17,masked_kernels,orth_signed_perm_seed117,True,True,False,True
18,masked_kernels,orth_signed_perm_seed118,True,True,False,True
19,masked_kernels,orth_signed_perm_seed119,True,True,False,True
20,masked_kernels,orth_signed_perm_seed120,True,True,False,True
21,masked_kernels,orth_signed_perm_seed121,True,True,False,True
22,masked_kernels,orth_signed_perm_seed122,True,True,False,True
23,masked_kernels,orth_signed_perm_seed123,True,True,False,True
