step,tdx_ce,expected_ce,dCE,dlogits_match,connected,hmac,finite
0,0.45415055751800537,0.4541362226009369,1.4334917068481445e-05,1.3695098459720612e-06,True,True,True
1,0.3753049075603485,0.3752930164337158,1.189112663269043e-05,1.1122319847345352e-06,True,True,True
2,0.34575873613357544,0.3457472026348114,1.1533498764038086e-05,1.1613592505455017e-06,True,True,True
3,0.3300897777080536,0.33007869124412537,1.1086463928222656e-05,1.2665987014770508e-06,True,True,True
4,0.31891968846321106,0.3189089596271515,1.0728836059570312e-05,1.5045516192913055e-06,True,True,True
5,0.3100146949291229,0.31000471115112305,9.98377799987793e-06,1.5352852642536163e-06,True,True,True
6,0.30257874727249146,0.3025689721107483,9.775161743164062e-06,1.5283003449440002e-06,True,True,True
7,0.2961968779563904,0.2961873710155487,9.506940841674805e-06,1.6298145055770874e-06,True,True,True
8,0.29060283303260803,0.29059359431266785,9.238719940185547e-06,1.6414560377597809e-06,True,True,True
9,0.28561508655548096,0.2856062352657318,8.851289749145508e-06,1.5189871191978455e-06,True,True,True
