artifact,host,size_bytes,sha256_or_binding,status
data/dataset_manifest.json,local,2008,966000c8c04069873c8d0869f6b0ab8a8ee2934958532925ffddad13603c6f60,COMPLETE_VERIFIED
data/e2e_train_a10.pt,local_and_a10,950801,7e46d5bca17ca3d31e843f2c4709854fac311b73a02fb09c7e1e619f7ee38d07,COMPLETE_VERIFIED
data/e2e_train_labels.pt,local_and_a10,1542691,a7883325ec7804712cc4d53f77f37d406aa77644f2e644aca40e5a211b9d481d,COMPLETE_VERIFIED
data/e2e_val_a10.pt,local_and_a10,1188805,531949d82819f59a1d109c4e8066e0a4ff7e4e43cc10ec7735ca45c1400cbf72,COMPLETE_VERIFIED
data/e2e_val_labels.pt,local_and_a10,1930775,ae34765d71b976e73a9ca4c63147921db9c53237bc6d6daffd2309b508ba188a,COMPLETE_VERIFIED
data/e2e_test_gen.json,local_and_a10,932964,dffadc4c6dc538663999572ea2a65b82b254b850289571c77aced7732cc627cb,COMPLETE_VERIFIED
generations/g0_base_test.jsonl,local_and_a10,973533,b225a5c48951b5095fe774baf1e62c1fea387c527a6076c577e4f70c2a947450,COMPLETE_BUT_NEEDS_VALIDATION
adapters/g1_final_s1234/adapter_model.safetensors,a10,17640136,a099492ed5058d7b9c37f2465e7d9bdb2679ff200739139a4c0111d878a952e1,COMPLETE_BUT_NEEDS_VALIDATION
generations/g1_final_s1234_test.jsonl,local_and_a10,968843,ec5a432031dcbfed61152e6a1b8299bfc55704568342e7890b412f49e9b7c76b,COMPLETE_BUT_NEEDS_VALIDATION
adapters/g1_final_s2025/adapter_model.safetensors,a10,17640136,3af4e992f8a978e72c7e7af2cea1460c25d8b3978edc0ff2dbf63cbfaa2157c8,COMPLETE_BUT_NEEDS_VALIDATION
generations/g1_final_s2025_test.jsonl,a10,967357,744d1758db59cff389fa618e8682ea412f076be646257ace296e33da392906f2,COMPLETE_BUT_NEEDS_VALIDATION
adapters/g1_final_s7/adapter_model.safetensors,a10,17640136,f313ea2900aa91e1d0d5bad9a2ad692d4ae4e2e48a85656bef81361059f323ea,COMPLETE_BUT_NEEDS_VALIDATION
generations/g1_final_s7_test.jsonl,a10,968624,0cfef06b7ace081b71303ca05f7709deb6562b521803f5dc9d9cff9b034aeb17,COMPLETE_BUT_NEEDS_VALIDATION
protected_runs/e2e_L12_smoke.adapter.pt,local_and_a10,17696083,893e704cb46d15d8aa2b654a5ad852eee6dd6021bc6c2cca8bdf76fa8a71368b,COMPLETE_VERIFIED_DIAGNOSTIC
generations/g2_protected_e2e_L12_smoke.jsonl,local_and_a10,9908,3f3450e004359ae82193d1db1800086b7b45f91ea88148402d3f0765558cc1e1,COMPLETE_VERIFIED_DIAGNOSTIC
model.safetensors,a10,unknown,88c142557820ccad55bb59756bfcfcf891de9cc6202816bd346445188a0ed342,FROZEN
tokenizer.json,a10,unknown,c0382117ea329cdf097041132f6d735924b697924d6f6fc3945713e96ce87539,FROZEN
transformed_base_package,local_and_a10,246_files,bfd578b809ef2313ed623c88893b1199f10be770f7678c1346ad473e36f0cde1,FROZEN
