unix,proc_cpu_pct,proc_rss_mb,loadavg1
1783819605.775874036,0.0,7.60938,30.88
1783819605.989478377,20.0,175.164,30.88
1783819606.208189474,42.0,381.574,30.88
1783819606.423932689,338,421.082,30.88
1783819606.637416084,468,445.641,30.88
1783819606.851277924,489,462.465,30.88
1783819607.065242672,255,475.902,30.88
1783819607.278674268,266,482.664,30.88
1783819607.492862131,276,492.902,30.88
1783819607.707208112,286,496.727,30.88
1783819607.921314267,198,808.566,30.33
1783819608.135067466,204,1034.04,30.33
1783819608.348911989,277,1239.1,30.33
1783819608.613469037,426,668.344,30.33
1783819608.827839842,588,748.113,30.33
1783819609.113018052,569,805.902,30.33
1783819609.328658775,701,855.277,30.33
1783819609.613646397,823,888.75,30.33
1783819609.830092575,944,958.621,30.33
1783819610.112674326,862,1036.18,30.33
1783819610.326324769,950,1106.53,30.33
1783819610.609366307,1050,1152.45,30.33
1783819610.822590323,1157,1213.27,30.33
1783819611.036526531,985,1444.27,30.33
1783819611.251911313,1017,2009.68,30.33
1783819611.511662672,1094,1234.56,30.33
1783819611.803621571,1178,1234.56,30.33
1783819612.019590956,1085,1235.96,30.33
1783819612.234761478,1125,1298.47,30.33
1783819612.449017424,1135,1346.18,30.33
1783819612.663092224,1139,1355.54,30.33
1783819612.877835793,1156,1371.68,31.02
1783819613.091579792,1033,1371.68,31.02
1783819613.305530122,1054,1371.68,31.02
1783819613.519723754,1069,1371.68,31.02
1783819613.733800847,1091,1371.68,31.02
1783819613.950494608,989,1371.68,31.02
1783819614.164147566,1008,1371.68,31.02
1783819614.377614688,1027,1371.68,31.02
1783819614.592449806,1048,1372.77,31.02
1783819614.807107978,1066,1372.77,31.02
1783819615.022033122,976,1372.77,31.02
1783819615.235860269,993,1372.77,31.02
1783819615.450482728,1009,1372.77,31.02
1783819615.664254980,1022,1372.77,31.02
1783819615.877767735,1040,1372.77,31.02
1783819616.091323820,961,1372.77,31.02
1783819616.305286624,977,1372.77,31.02
1783819616.519919483,988,1372.77,31.02
1783819616.734198595,1003,1372.79,31.02
1783819616.953017561,934,1372.79,31.02
1783819617.166624046,949,1372.79,31.02
1783819617.381642222,963,1372.79,31.02
1783819617.600958887,974,1372.79,31.02
1783819617.815684338,988,1372.79,30.38
1783819618.029185059,925,1372.79,30.38
1783819618.242786952,939,1372.79,30.38
1783819618.462694381,952,1372.79,30.38
1783819618.678876100,964,1372.79,30.38
1783819618.892857257,975,1372.79,30.38
1783819619.106584782,917,1372.79,30.38
1783819619.320266648,929,1372.79,30.38
1783819619.534613880,942,1372.79,30.38
1783819619.747850754,951,1372.79,30.38
1783819619.963601740,899,1372.79,30.38
1783819620.177547729,911,1372.79,30.38
1783819620.391623168,920,1372.79,30.38
1783819620.609122224,931,1372.79,30.38
1783819620.823021854,940,1372.79,30.38
1783819621.037218032,892,1372.79,30.38
1783819621.251468392,899,1372.79,30.38
1783819621.465685171,907,1372.79,30.38
1783819621.679354637,917,1372.79,30.38
1783819621.893296977,928,1372.79,30.38
1783819622.106833242,881,1372.79,30.38
1783819622.321013950,891,1372.79,30.38
1783819622.534632796,898,1372.79,30.38
1783819622.748672585,906,1372.79,30.38
1783819622.962226766,865,1372.79,28.67
1783819623.177227062,872,1372.79,28.67
1783819623.394806691,881,1372.79,28.67
1783819623.608106754,891,1372.79,28.67
1783819623.824903391,900,1372.79,28.67
1783819624.038696703,862,1372.79,28.67
1783819624.252408609,872,1372.79,28.67
1783819624.466878331,878,1372.79,28.67
1783819624.680552842,887,1372.79,28.67
1783819624.897176740,896,1372.79,28.67
1783819625.110779021,860,1372.79,28.67
1783819625.324500691,869,1372.79,28.67
1783819625.539283478,878,1372.79,28.67
1783819625.752499224,884,1372.79,28.67
1783819625.968126700,850,1372.79,28.67
1783819626.183198394,860,1372.79,28.67
1783819626.397038164,868,1372.79,28.67
1783819626.610569263,876,1372.79,28.67
1783819626.825757151,884,1372.79,28.67
1783819627.039133555,851,1372.79,28.67
1783819627.254177681,859,1372.79,28.67
1783819627.468876174,865,1372.79,28.67
1783819627.682851763,873,1372.79,28.67
1783819627.903390691,881,1372.79,27.09
1783819628.118629197,852,1372.79,27.09
1783819628.332650421,860,1372.79,27.09
1783819628.548861377,868,1372.79,27.09
1783819628.763805196,876,1372.79,27.09
1783819628.979574622,846,1372.79,27.09
1783819629.193719969,854,1372.79,27.09
1783819629.408432280,859,1372.79,27.09
1783819629.623268834,868,1372.79,27.09
1783819629.839138368,875,1372.79,27.09
1783819630.052561676,847,1372.79,27.09
1783819630.266681985,854,1372.79,27.09
1783819630.479887678,861,1372.79,27.09
1783819630.693613700,868,1372.79,27.09
1783819630.907381913,841,1372.79,27.09
1783819631.120992979,846,1372.79,27.09
1783819631.334642292,853,1372.79,27.09
1783819631.548934577,860,1373.19,27.09
1783819631.764054772,866,1373.19,27.09
1783819631.977941986,841,1373.19,27.09
1783819632.192508959,848,1373.19,27.09
1783819632.408479804,856,1373.19,27.09
1783819632.623836970,861,1373.19,27.09
1783819632.838359807,867,1373.19,28.04
1783819633.053664530,842,1373.19,28.04
1783819633.267165358,850,1373.25,28.04
1783819633.480854471,857,1373.25,28.04
1783819633.694415914,863,1373.25,28.04
1783819633.908254207,839,1373.25,28.04
1783819634.122081073,845,1373.25,28.04
1783819634.336271321,851,1373.25,28.04
1783819634.550525680,857,1373.25,28.04
1783819634.764844881,863,1373.25,28.04
1783819634.978689469,840,1373.25,28.04
1783819635.192284328,847,1373.25,28.04
1783819635.405875001,852,1373.25,28.04
1783819635.620408479,857,1373.25,28.04
1783819635.834153890,862,1373.25,28.04
1783819636.047826718,835,1373.32,28.04
1783819636.262606826,836,1498.32,28.04
