category,name,device,dtype,shape,on_cpu,allowed_cpu_reason
embedding,embed,cuda:0,torch.bfloat16,151936x896,False,
head,lm_head,cuda:0,torch.bfloat16,151936x896,False,
base_weight,L0.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L0.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L0.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L0.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L0.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L0.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L0.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L0.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L0.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L0.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L1.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L1.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L1.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L1.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L1.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L1.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L1.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L1.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L1.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L1.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L2.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L2.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L2.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L2.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L2.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L2.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L2.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L2.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L2.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L2.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L3.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L3.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L3.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L3.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L3.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L3.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L3.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L3.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L3.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L3.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L4.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L4.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L4.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L4.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L4.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L4.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L4.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L4.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L4.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L4.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L5.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L5.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L5.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L5.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L5.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L5.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L5.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L5.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L5.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L5.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L6.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L6.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L6.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L6.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L6.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L6.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L6.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L6.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L6.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L6.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L7.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L7.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L7.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L7.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L7.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L7.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L7.v_proj.b,cuda:0,torch.bfloat16,128,False,
