seed,metric,n,g1_mean,g2_mean,mean_delta_g2_minus_g1,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,cohen_dz,positive,negative,zero
7,BLEU,500,62.83417833399691,62.72143865303204,-0.11273968096486954,-1.2129601118811706,0.9893446717957696,-0.009077073409280812,209,222,69
7,chrF,500,72.63006497945652,72.20900982063263,-0.4210551588238847,-1.1407647273148116,0.2974986410459726,-0.05117068604350591,202,229,69
7,ROUGE_L,500,61.3109775809825,60.81336745671144,-0.49761012427106105,-1.4380329886491854,0.46445123456435333,-0.0454532983291576,205,218,77
7,length,500,33.23,32.112,-1.118,-1.638,-0.606,-0.18867942951855068,153,239,108
7,repetition_pct,500,3.0526000000000004,2.9442,-0.10839999999999993,-0.4160099999999999,0.1956099999999992,-0.03089280328668338,144,145,211
7,invalid_pct,500,0.0,0.0,0.0,0.0,0.0,nan,0,0,500
1234,BLEU,500,62.92592355825709,63.33924515918702,0.41332160092993026,-0.6355118539045501,1.4890081034458258,0.03404510235334829,205,200,95
1234,chrF,500,72.94143440163141,70.7953487923461,-2.1460856092853153,-2.8302910833702577,-1.4663620434827493,-0.2749086015013478,151,255,94
1234,ROUGE_L,500,61.403031405136545,61.9561007374207,0.5530693322841546,-0.2946938197933063,1.4086019923645534,0.05618760373799132,213,185,102
1234,length,500,33.318,30.388,-2.93,-3.44205,-2.426,-0.496547855469232,101,265,134
1234,repetition_pct,500,3.4688000000000003,2.7912,-0.6776,-1.017805,-0.3401950000000004,-0.17604425661812606,112,151,237
1234,invalid_pct,500,0.0,0.0,0.0,0.0,0.0,nan,0,0,500
2025,BLEU,500,63.17218989570652,61.63109721128513,-1.5410926844213932,-2.7341176840700485,-0.32493475640547714,-0.11280745016924099,180,247,73
2025,chrF,500,72.55476213588123,71.38624615817596,-1.1685159777052536,-1.9467388759371684,-0.3755958185837969,-0.12938537759164834,166,265,69
2025,ROUGE_L,500,61.57693265056493,60.57587196269399,-1.0010606878709378,-2.0706642770308834,0.07786524729239933,-0.0820379427354534,172,249,79
2025,length,500,33.058,32.74,-0.318,-0.842,0.19204999999999564,-0.054270998049696435,192,206,102
2025,repetition_pct,500,3.3731999999999998,4.2062,0.833,0.4557950000000001,1.211,0.19285692299110188,195,120,185
2025,invalid_pct,500,0.0,0.0,0.0,0.0,0.0,nan,0,0,500
