input,decoy,k,best_stat,auc,top1_recovery,chance_top1
gaussian,naive,2,norm,1.0,1.0,0.5
gaussian,naive,4,norm,1.0,1.0,0.25
gaussian,naive,8,norm,1.0,1.0,0.125
gaussian,unit_norm,2,maxabs_over_norm,0.577,0.562,0.5
gaussian,unit_norm,4,kurtosis,0.614,0.375,0.25
gaussian,unit_norm,8,kurtosis,0.549,0.125,0.125
gaussian,colnorm_matched,2,kurtosis,0.528,0.5,0.5
gaussian,colnorm_matched,4,kurtosis,0.527,0.25,0.25
gaussian,colnorm_matched,8,maxabs_over_norm,0.552,0.188,0.125
gaussian,coord,2,var,0.603,0.625,0.5
gaussian,coord,4,kurtosis,0.545,0.312,0.25
gaussian,coord,8,var,0.532,0.062,0.125
structured,naive,2,norm,0.989,1.0,0.5
structured,naive,4,norm,0.996,0.969,0.25
structured,naive,8,norm,0.981,0.938,0.125
structured,unit_norm,2,norm,0.878,0.906,0.5
structured,unit_norm,4,norm,0.879,0.875,0.25
structured,unit_norm,8,norm,0.876,0.875,0.125
structured,colnorm_matched,2,kurtosis,0.591,0.531,0.5
structured,colnorm_matched,4,kurtosis,0.579,0.312,0.25
structured,colnorm_matched,8,kurtosis,0.566,0.188,0.125
structured,coord,2,norm,0.59,0.562,0.5
structured,coord,4,kurtosis,0.535,0.312,0.25
structured,coord,8,kurtosis,0.511,0.156,0.125
