num_layers,num_lora_layers,schedule,input_calls,loss_calls,update_calls,nonlinear_calls,total_invocations,worker_to_trusted_returns,logical_round_trips,expected_complexity,observed_match
1,1,packed,1,1,1,0,3,2,3,O(1) = 3/step,True
1,1,per_layer,1,1,1,0,3,2,3,O(2 + |S|)/step,True
2,2,packed,1,1,1,0,3,2,3,O(1) = 3/step,True
2,2,per_layer,1,1,2,0,4,3,4,O(2 + |S|)/step,True
4,4,packed,1,1,1,0,3,2,3,O(1) = 3/step,True
4,4,per_layer,1,1,4,0,6,5,6,O(2 + |S|)/step,True
8,8,packed,1,1,1,0,3,2,3,O(1) = 3/step,True
8,8,per_layer,1,1,8,0,10,9,10,O(2 + |S|)/step,True
16,16,packed,1,1,1,0,3,2,3,O(1) = 3/step,True
16,16,per_layer,1,1,16,0,18,17,18,O(2 + |S|)/step,True
32,32,packed,1,1,1,0,3,2,3,O(1) = 3/step,True
32,32,per_layer,1,1,32,0,34,33,34,O(2 + |S|)/step,True
