section,case,dtype,max_abs_error,rel_error,solve_residual,pass,relation_holds
A1,permutation/8x16x16/bias=True,float64,8.881784197001252e-16,1.6553121575107797e-16,0.0,True,
A1,permutation/8x16x16/bias=False,float64,6.661338147750939e-16,1.5044678859092592e-16,0.0,True,
A1,permutation/8x16x12/bias=True,float64,8.881784197001252e-16,1.6069457337433755e-16,0.0,True,
A1,permutation/8x16x12/bias=False,float64,4.440892098500626e-16,1.5521852203380912e-16,0.0,True,
A1,permutation/6x12x20/bias=True,float64,4.440892098500626e-16,1.138455681750493e-16,0.0,True,
A1,permutation/6x12x20/bias=False,float64,4.440892098500626e-16,1.238467742028424e-16,0.0,True,
A1,orthogonal/8x16x16/bias=True,float64,1.1102230246251565e-15,3.2448295415304083e-16,3.3306690738754696e-16,True,
A1,orthogonal/8x16x16/bias=False,float64,9.992007221626409e-16,3.477501778054302e-16,4.649058915617843e-16,True,
A1,orthogonal/8x16x12/bias=True,float64,1.3322676295501878e-15,3.067709471224334e-16,4.440892098500626e-16,True,
A1,orthogonal/8x16x12/bias=False,float64,1.3322676295501878e-15,3.749149975385582e-16,3.3306690738754696e-16,True,
A1,orthogonal/6x12x20/bias=True,float64,1.5543122344752192e-15,2.9040880887790525e-16,6.938893903907228e-16,True,
A1,orthogonal/6x12x20/bias=False,float64,1.1102230246251565e-15,3.679910276922418e-16,3.885780586188048e-16,True,
A1,positive_diagonal/8x16x16/bias=True,float64,1.1102230246251565e-15,1.557196808912722e-16,1.1102230246251565e-16,True,
A1,positive_diagonal/8x16x16/bias=False,float64,2.6645352591003757e-15,2.638271912492168e-16,1.1102230246251565e-16,True,
A1,positive_diagonal/8x16x12/bias=True,float64,1.7763568394002505e-15,1.5668378998592152e-16,1.1102230246251565e-16,True,
A1,positive_diagonal/8x16x12/bias=False,float64,8.881784197001252e-16,1.8367049459204233e-16,1.1102230246251565e-16,True,
A1,positive_diagonal/6x12x20/bias=True,float64,8.881784197001252e-16,1.577693118247981e-16,1.1102230246251565e-16,True,
A1,positive_diagonal/6x12x20/bias=False,float64,8.881784197001252e-16,1.7367241156222196e-16,1.1102230246251565e-16,True,
A1,dense_gl/8x16x16/bias=True,float64,1.7728873924482969e-15,5.931012971807729e-16,6.591949208711867e-16,True,
A1,dense_gl/8x16x16/bias=False,float64,1.4432899320127035e-15,8.842282766961672e-16,1.1796119636642288e-15,True,
A1,dense_gl/8x16x12/bias=True,float64,1.5543122344752192e-15,7.48558820540965e-16,6.661338147750939e-16,True,
A1,dense_gl/8x16x12/bias=False,float64,9.992007221626409e-16,6.432849913772683e-16,7.771561172376096e-16,True,
A1,dense_gl/6x12x20/bias=True,float64,1.1102230246251565e-15,4.547385855061276e-16,5.342948306008566e-16,True,
A1,dense_gl/6x12x20/bias=False,float64,1.4432899320127035e-15,7.24667838509675e-16,9.43689570931383e-16,True,
A1,permutation/8x16x16/bias=True,float32,3.5762786865234375e-07,7.556607073411215e-08,0.0,True,
A1,permutation/8x16x16/bias=False,float32,4.76837158203125e-07,1.0170514741503212e-07,0.0,True,
A1,permutation/8x16x12/bias=True,float32,2.384185791015625e-07,7.642654509254498e-08,0.0,True,
