track,steps,max_param_error,loss_curve_distance,final_adapter_error,status,max_loss_diff_abs,max_update_a_err,allclose,param_A_error,delta_W_error,adam_second_moment_error,next_step_logit_error,packed_equals_per_layer
single_layer/A0/sgd,10,4.336808689942018e-18,4.965068306494546e-16,8.673617379884035e-19,,,,,,,,,
single_layer/A0/momentum_sgd,10,2.0816681711721685e-17,4.839349969133127e-16,1.3877787807814457e-17,,,,,,,,,
single_layer/A0/adamw,10,7.771561172376096e-16,1.0877919644084146e-15,7.771561172376096e-16,,,,,,,,,
single_layer/A0/dense_masked_adamw,10,,,,raised_unsupported,,,,,,,,
single_layer/A1/sgd,10,3.469446951953614e-18,4.965068306494546e-16,8.673617379884035e-19,,,,,,,,,
single_layer/A1/momentum_sgd,10,1.3877787807814457e-17,4.839349969133127e-16,1.3877787807814457e-17,,,,,,,,,
single_layer/A1/adamw,10,1.304512053934559e-15,9.678699938266253e-16,1.304512053934559e-15,,,,,,,,,
single_layer/A1/dense_masked_adamw,10,,,,raised_unsupported,,,,,,,,
multi_layer/sgd,1,,,,,7.389644451905042e-13,3.2612801348363973e-15,True,,,,,
multi_layer/adamw,1,,,,,7.389644451905042e-13,1.2212453270876722e-15,True,,,,,
multi_layer/sgd,2,,,,,3.865352482534945e-12,7.605027718682322e-14,True,,,,,
multi_layer/adamw,2,,,,,1.2505552149377763e-12,6.40321129452559e-14,True,,,,,
multi_layer/sgd,5,,,,,4.270173582886727e+31,8.822740631547564e+29,False,,,,,
multi_layer/adamw,5,,,,,1.2505552149377763e-12,6.851463840717997e-14,True,,,,,
multi_layer/sgd,10,,,,,4.270173582886727e+31,8.822740631547564e+29,False,,,,,
multi_layer/adamw,10,,,,,1.2505552149377763e-12,6.970812815865202e-14,True,,,,,
packed_vs_per_layer,6,,,,,,,,0.0,0.0,0.0,0.0,True
