attack,metric,value,exact,synthetic,spectrum_preserved
F1_cross_gram_general,mean_rel_error,1.8173049835939048,False,True,
F1_cross_gram_nonlinear,mean_corr,1.0,True,True,
F2_multiset_invariant,max_err,0.0,True,True,
F2_fixed_Pi_linkability,accuracy,1.0,,True,
F2_fresh_Pi_linkability,accuracy,0.0,,True,
F3_rank_invariant,bool,True,,True,
F3_orth_preserves_angle,bool,True,,True,
F3_gl_changes_singular_values,bool,True,,True,
F4_compensation/orthogonal,est_err@K=50,0.0512,,True,True
F4_compensation/orthogonal,est_err@K=200,0.0312,,True,True
F4_compensation/orthogonal,est_err@K=1000,0.0118,,True,True
F4_compensation/dense_non_orthogonal,est_err@K=50,0.0674,,True,False
F4_compensation/dense_non_orthogonal,est_err@K=200,0.0494,,True,False
F4_compensation/dense_non_orthogonal,est_err@K=1000,0.0083,,True,False
F4_compensation/diagonal,est_err@K=50,0.063,,True,False
F4_compensation/diagonal,est_err@K=200,0.025,,True,False
F4_compensation/diagonal,est_err@K=1000,0.017,,True,False
F5_multiview/n=1,recon_rel_error,2.3254,,True,
F5_multiview/n=2,recon_rel_error,1.6355,,True,
F5_multiview/n=4,recon_rel_error,1.4097,,True,
F5_multiview/n=8,recon_rel_error,1.1092,,True,
F6_packed_buffer,step_classifier_acc,0.667,,True,
