step,plaintext,O1A_orth,O1B_nonorth_precond,O1C_trusted,O1A_absdiff,O1B_absdiff,O1C_absdiff
0,8.4524140094,8.4524140094,8.4524140094,8.4524140094,1.78e-15,1.78e-15,0.00e+00
1,7.7704130039,7.7704130039,7.7704130039,7.7704130039,8.88e-16,1.78e-15,0.00e+00
2,7.1606880564,7.1606880564,7.1606880564,7.1606880564,0.00e+00,2.66e-15,0.00e+00
3,6.6146484434,6.6146484434,6.6146484434,6.6146484434,8.88e-16,1.78e-15,0.00e+00
4,6.1247777612,6.1247777612,6.1247777612,6.1247777612,0.00e+00,0.00e+00,0.00e+00
5,5.6844960765,5.6844960765,5.6844960765,5.6844960765,0.00e+00,0.00e+00,0.00e+00
6,5.2880400263,5.2880400263,5.2880400263,5.2880400263,8.88e-16,0.00e+00,0.00e+00
7,4.9303585092,4.9303585092,4.9303585092,4.9303585092,8.88e-16,8.88e-16,0.00e+00
8,4.6070219211,4.6070219211,4.6070219211,4.6070219211,1.78e-15,1.78e-15,0.00e+00
9,4.3141431584,4.3141431584,4.3141431584,4.3141431584,8.88e-16,8.88e-16,0.00e+00
