layer,deltaw_rel,deltaw_cos,gradA_rel,gradA_cos,gradB_rel,gradB_cos
model.layers.0.self_attn.q_proj,0.03639998659491539,0.9993927478790283,0.0,0.0,0.03650263324379921,0.9993408918380737
model.layers.0.self_attn.k_proj,0.026315299794077873,0.999761700630188,0.0,0.0,0.025642160326242447,0.9997665882110596
model.layers.0.self_attn.v_proj,0.017111020162701607,0.999853789806366,0.0,0.0,0.016763465479016304,0.9998608827590942
model.layers.0.self_attn.o_proj,0.016694700345396996,0.9998375773429871,0.0,0.0,0.016177525743842125,0.9998742341995239
model.layers.1.self_attn.q_proj,0.026484893634915352,0.9996364712715149,0.0,0.0,0.026193581521511078,0.9996584057807922
model.layers.1.self_attn.k_proj,0.016528252512216568,0.9998615980148315,0.0,0.0,0.016187360510230064,0.9998697638511658
model.layers.1.self_attn.v_proj,0.016792481765151024,0.9998551607131958,0.0,0.0,0.016407478600740433,0.9998661279678345
model.layers.1.self_attn.o_proj,0.01417244877666235,0.9998819231987,0.0,0.0,0.013696258887648582,0.9999073147773743
model.layers.2.self_attn.q_proj,0.01935380883514881,0.9998264312744141,0.0,0.0,0.01906464993953705,0.9998205900192261
model.layers.2.self_attn.k_proj,0.009991206228733063,0.9999520778656006,0.0,0.0,0.009301265701651573,0.9999608993530273
model.layers.2.self_attn.v_proj,0.014263424091041088,0.9999003410339355,0.0,0.0,0.013681833632290363,0.9999067783355713
model.layers.2.self_attn.o_proj,0.012872808612883091,0.9998813271522522,0.0,0.0,0.012259283103048801,0.9999260306358337
model.layers.3.self_attn.q_proj,0.010089442133903503,1.0000101327896118,0.0,0.0,0.009407221339643002,0.9999587535858154
model.layers.3.self_attn.k_proj,0.009609593078494072,0.9999533295631409,0.0,0.0,0.008834397420287132,0.9999614953994751
model.layers.3.self_attn.v_proj,0.014193057082593441,0.9998946189880371,0.0,0.0,0.013851592317223549,0.999904215335846
model.layers.3.self_attn.o_proj,0.01118409726768732,0.9999053478240967,0.0,0.0,0.010615765117108822,0.999946117401123
model.layers.4.self_attn.q_proj,0.014974982477724552,0.9998924136161804,0.0,0.0,0.014162310399115086,0.9999027252197266
model.layers.4.self_attn.k_proj,0.013523255474865437,0.9999061822891235,0.0,0.0,0.012774874456226826,0.9999197721481323
model.layers.4.self_attn.v_proj,0.012901486828923225,0.9999173879623413,0.0,0.0,0.012491639703512192,0.9999222755432129
model.layers.4.self_attn.o_proj,0.01050446555018425,0.9999204277992249,0.0,0.0,0.009835042990744114,0.9999536275863647
model.layers.5.self_attn.q_proj,0.011815180070698261,0.9999831914901733,0.0,0.0,0.011188733391463757,0.9999597072601318
model.layers.5.self_attn.k_proj,0.018627429381012917,0.9998420476913452,0.0,0.0,0.018499506637454033,0.999849796295166
model.layers.5.self_attn.v_proj,0.011188238859176636,0.9999387264251709,0.0,0.0,0.010770185850560665,0.9999484419822693
model.layers.5.self_attn.o_proj,0.009112558327615261,0.999927282333374,0.0,0.0,0.008389037102460861,0.9999664425849915
